cohort,model,n_samples,n_repeats,positive_rate_mean,positive_rate_sd,positive_rate_ci95_lower,positive_rate_ci95_upper,accuracy_mean,accuracy_sd,accuracy_ci95_lower,accuracy_ci95_upper,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_lower,balanced_accuracy_ci95_upper,sensitivity_mean,sensitivity_sd,sensitivity_ci95_lower,sensitivity_ci95_upper,specificity_mean,specificity_sd,specificity_ci95_lower,specificity_ci95_upper,auroc_mean,auroc_sd,auroc_ci95_lower,auroc_ci95_upper,auprc_mean,auprc_sd,auprc_ci95_lower,auprc_ci95_upper,brier_mean,brier_sd,brier_ci95_lower,brier_ci95_upper,log_loss_mean,log_loss_sd,log_loss_ci95_lower,log_loss_ci95_upper,ece_5_mean,ece_5_sd,ece_5_ci95_lower,ece_5_ci95_upper,ece_10_mean,ece_10_sd,ece_10_ci95_lower,ece_10_ci95_upper
adolescent,logreg,103,10,0.60194175,0.00000000,0.60194175,0.60194175,0.94466019,0.02149121,0.92928631,0.96003408,0.93998820,0.02339886,0.92324966,0.95672673,0.96290323,0.01708629,0.95068043,0.97512602,0.91707317,0.03487416,0.89212570,0.94202065,0.99020456,0.00489399,0.98670361,0.99370551,0.99389218,0.00315871,0.99163258,0.99615179,0.04436883,0.00718439,0.03922943,0.04950823,0.15491098,0.01752438,0.14237480,0.16744717,0.05732286,0.00997334,0.05018836,0.06445736,0.07362163,0.01074094,0.06593802,0.08130523
adolescent,dtree,103,10,0.60194175,0.00000000,0.60194175,0.60194175,0.77864078,0.02660816,0.75960645,0.79767511,0.77027931,0.02729125,0.75075632,0.78980230,0.81129032,0.03728718,0.78461668,0.83796397,0.72926829,0.04663294,0.69590909,0.76262749,0.78908340,0.02402372,0.77189786,0.80626893,0.79926448,0.02528335,0.78117786,0.81735110,0.19996267,0.01884891,0.18647897,0.21344636,6.24031769,0.62180530,5.79550498,6.68513041,0.18785628,0.02229840,0.17190497,0.20380759,0.19236112,0.02048576,0.17770649,0.20701575
adolescent,knn,103,10,0.60194175,0.00000000,0.60194175,0.60194175,0.82621359,0.01739764,0.81376807,0.83865912,0.78501180,0.02171722,0.76947624,0.80054736,0.98709678,0.00680060,0.98223192,0.99196163,0.58292683,0.04370628,0.55166124,0.61419242,0.95200629,0.01422507,0.94183029,0.96218230,0.94950033,0.01997975,0.93520767,0.96379298,0.11304854,0.00642168,0.10845475,0.11764234,0.86070101,0.48636485,0.51277656,1.20862547,0.13339806,0.00549591,0.12946652,0.13732959,0.13339806,0.00549591,0.12946652,0.13732959
adolescent,nb,103,10,0.60194175,0.00000000,0.60194175,0.60194175,0.72524272,0.04713157,0.69152683,0.75895861,0.70320614,0.04902604,0.66813502,0.73827726,0.81129032,0.04236750,0.78098244,0.84159821,0.59512195,0.06105686,0.55144451,0.63879940,0.75212431,0.06113366,0.70839192,0.79585670,0.75905684,0.06121805,0.71526408,0.80284959,0.25232663,0.04597308,0.21943947,0.28521379,4.35679794,1.31243493,3.41793855,5.29565733,0.25501575,0.04329221,0.22404637,0.28598513,0.25972787,0.04486200,0.22763553,0.29182021
adolescent,rf,103,10,0.60194175,0.00000000,0.60194175,0.60194175,0.90485437,0.02279199,0.88854996,0.92115878,0.89370575,0.02240204,0.87768029,0.90973120,0.94838710,0.02925047,0.92746257,0.96931163,0.83902439,0.02862897,0.81854446,0.85950432,0.97140047,0.00844962,0.96535598,0.97744497,0.98060000,0.00583380,0.97642674,0.98477325,0.10970846,0.00413494,0.10675051,0.11266642,0.37692591,0.00910309,0.37041395,0.38343787,0.16689192,0.01505769,0.15612030,0.17766354,0.19238503,0.02070190,0.17757578,0.20719428
adolescent,svm,103,10,0.60194175,0.00000000,0.60194175,0.60194175,0.91747573,0.01727683,0.90511663,0.92983482,0.91162471,0.01910436,0.89795827,0.92529114,0.94032258,0.01327859,0.93082365,0.94982151,0.88292683,0.02998226,0.86147882,0.90437484,0.98170732,0.00668958,0.97692188,0.98649275,0.98839274,0.00426421,0.98534231,0.99144317,0.11676116,0.00343794,0.11430180,0.11922051,0.40421036,0.00701563,0.39919169,0.40922904,0.20454064,0.01129325,0.19646194,0.21261935,0.23331910,0.01675022,0.22133671,0.24530148
adolescent,xgb,103,10,0.60194175,0.00000000,0.60194175,0.60194175,0.91941748,0.02631129,0.90059551,0.93823944,0.91075924,0.02835329,0.89047652,0.93104197,0.95322581,0.02457877,0.93564321,0.97080840,0.86829268,0.04332654,0.83729874,0.89928663,0.97608183,0.01315597,0.96667061,0.98549304,0.98371144,0.00996023,0.97658633,0.99083656,0.06090533,0.01117878,0.05290851,0.06890214,0.20499492,0.02992027,0.18359125,0.22639859,0.05920822,0.01344273,0.04959187,0.06882457,0.07939634,0.01374767,0.06956186,0.08923083
adolescent,adaboost,103,10,0.60194175,0.00000000,0.60194175,0.60194175,0.82135922,0.02973122,0.80009079,0.84262766,0.78469709,0.03139459,0.76223875,0.80715542,0.96451613,0.02498699,0.94664151,0.98239075,0.60487805,0.04113532,0.57545161,0.63430448,0.91825334,0.02954672,0.89711689,0.93938980,0.93993676,0.03275470,0.91650546,0.96336806,0.13959436,0.00837748,0.13360147,0.14558724,0.44939490,0.01866154,0.43604524,0.46274455,0.15869988,0.02490845,0.14088145,0.17651831,0.16062520,0.02187717,0.14497522,0.17627519
adolescent,mlp,103,10,0.60194175,0.00000000,0.60194175,0.60194175,0.80970874,0.04626813,0.77661051,0.84280696,0.80352085,0.04212004,0.77338999,0.83365171,0.83387097,0.10030881,0.76211437,0.90562757,0.77317073,0.09894012,0.70239324,0.84394823,0.87698662,0.05638911,0.83664828,0.91732496,0.90732951,0.05739909,0.86626867,0.94839034,0.16643862,0.01957141,0.15243808,0.18043916,0.51160611,0.04673191,0.47817611,0.54503610,0.15835281,0.02263948,0.14215751,0.17454812,0.17887301,0.02763050,0.15910734,0.19863868
adult,logreg,699,10,0.26752504,0.00000000,0.26752504,0.26752504,0.99899857,0.00135720,0.99802769,0.99996945,0.99914668,0.00127483,0.99823473,1.00000000,0.99946524,0.00169106,0.99825553,1.00000000,0.99882813,0.00164702,0.99764992,1.00000000,0.99999791,0.00000661,0.99999319,1.00000000,0.99999430,0.00001804,0.99998139,1.00000000,0.00730455,0.00028465,0.00710092,0.00750817,0.03761307,0.00069481,0.03711604,0.03811011,0.03261993,0.00139248,0.03162381,0.03361605,0.03287039,0.00071494,0.03235896,0.03338183
adult,dtree,699,10,0.26752504,0.00000000,0.26752504,0.26752504,0.90929900,0.00951834,0.90248999,0.91610801,0.89837065,0.01295293,0.88910469,0.90763662,0.87486631,0.02407407,0.85764476,0.89208786,0.92187500,0.00956832,0.91503024,0.92871976,0.90601395,0.01239165,0.89714950,0.91487841,0.77101482,0.02228986,0.75506962,0.78696002,0.08384226,0.00864959,0.07765472,0.09002980,2.62648255,0.28497446,2.42262410,2.83034100,0.07918895,0.00881669,0.07288187,0.08549603,0.07918895,0.00881669,0.07288187,0.08549603
adult,knn,699,10,0.26752504,0.00000000,0.26752504,0.26752504,0.95622318,0.00477825,0.95280502,0.95964133,0.95110816,0.00459162,0.94782352,0.95439281,0.94010695,0.00704043,0.93507053,0.94514337,0.96210938,0.00605154,0.95778037,0.96643838,0.99217183,0.00170268,0.99095381,0.99338986,0.97421338,0.00307642,0.97201265,0.97641412,0.03118169,0.00158251,0.03004963,0.03231375,0.11726613,0.02733400,0.09771257,0.13681970,0.01862661,0.00192387,0.01725036,0.02000286,0.01891273,0.00184667,0.01759171,0.02023376
adult,nb,699,10,0.26752504,0.00000000,0.26752504,0.26752504,0.93819742,0.00221630,0.93661198,0.93978287,0.93184482,0.00173545,0.93060335,0.93308628,0.91818182,0.00360935,0.91559984,0.92076379,0.94550781,0.00349992,0.94300412,0.94801150,0.98304646,0.00067321,0.98256487,0.98352804,0.95907167,0.00160426,0.95792405,0.96021929,0.04648735,0.00130313,0.04555515,0.04741956,0.16393081,0.00365764,0.16131429,0.16654733,0.02735239,0.00302317,0.02518974,0.02951503,0.03331913,0.00176581,0.03205594,0.03458231
adult,rf,699,10,0.26752504,0.00000000,0.26752504,0.26752504,0.95836910,0.00312342,0.95613474,0.96060346,0.96071973,0.00332297,0.95834262,0.96309684,0.96577540,0.00574849,0.96166318,0.96988762,0.95566406,0.00391167,0.95286582,0.95846230,0.99470672,0.00077063,0.99415544,0.99525799,0.98595327,0.00205790,0.98448113,0.98742540,0.05303127,0.00073804,0.05250331,0.05355923,0.21073937,0.00178445,0.20946286,0.21201589,0.13253948,0.00423493,0.12951000,0.13556896,0.13270264,0.00418809,0.12970666,0.13569862
adult,svm,699,10,0.26752504,0.00000000,0.26752504,0.26752504,0.98125894,0.00265082,0.97936266,0.98315522,0.98330339,0.00256700,0.98146707,0.98513971,0.98770053,0.00440253,0.98455116,0.99084991,0.97890625,0.00354205,0.97637242,0.98144008,0.99906730,0.00024770,0.99889011,0.99924450,0.99756530,0.00059742,0.99713793,0.99799267,0.05191200,0.00059428,0.05148688,0.05233713,0.22515697,0.00146269,0.22411062,0.22620332,0.16459732,0.00309997,0.16237974,0.16681490,0.17068159,0.00257459,0.16883984,0.17252334
adult,xgb,699,10,0.26752504,0.00000000,0.26752504,0.26752504,0.98168813,0.00420080,0.97868305,0.98469320,0.98291747,0.00442825,0.97974969,0.98608525,0.98556150,0.00620054,0.98112590,0.98999710,0.98027344,0.00455264,0.97701668,0.98353020,0.99833828,0.00055629,0.99794033,0.99873622,0.99535756,0.00153906,0.99425658,0.99645854,0.01719304,0.00196855,0.01578483,0.01860126,0.06397347,0.00496081,0.06042472,0.06752222,0.02514861,0.00347443,0.02266315,0.02763407,0.02692151,0.00233724,0.02524955,0.02859346
adult,adaboost,699,10,0.26752504,0.00000000,0.26752504,0.26752504,0.88082976,0.00723369,0.87565509,0.88600443,0.90982672,0.00588221,0.90561884,0.91403460,0.97219251,0.00552297,0.96824162,0.97614341,0.84746094,0.00922781,0.84085976,0.85406212,0.97392578,0.00120470,0.97306399,0.97478757,0.93095583,0.00394518,0.92813362,0.93377803,0.10690207,0.00071359,0.10639160,0.10741254,0.36853201,0.00161331,0.36737792,0.36968610,0.18866602,0.00345268,0.18619612,0.19113591,0.19685708,0.00475061,0.19345870,0.20025546
adult,mlp,699,10,0.26752504,0.00000000,0.26752504,0.26752504,0.96437768,0.01242523,0.95548921,0.97326616,0.97110106,0.01036143,0.96368894,0.97851318,0.98556150,0.00799163,0.97984463,0.99127836,0.95664063,0.01515124,0.94580208,0.96747917,0.99736903,0.00201323,0.99592885,0.99880921,0.99313616,0.00520497,0.98941275,0.99685957,0.03057642,0.01218460,0.02186008,0.03929276,0.11785657,0.04251768,0.08744126,0.14827189,0.06863583,0.02559460,0.05032655,0.08694510,0.07000089,0.02628678,0.05119646,0.08880532
