cohort,model,method,repeat,n,positive_rate,raw_accuracy,calibrated_accuracy,accuracy_change,raw_balanced_accuracy,calibrated_balanced_accuracy,balanced_accuracy_change,raw_sensitivity,calibrated_sensitivity,sensitivity_change,raw_specificity,calibrated_specificity,specificity_change,raw_auroc,calibrated_auroc,auroc_change,raw_auprc,calibrated_auprc,auprc_change,raw_brier,calibrated_brier,brier_improvement,raw_log_loss,calibrated_log_loss,log_loss_improvement,raw_ece_5,calibrated_ece_5,ece_5_improvement,raw_ece_10,calibrated_ece_10,ece_10_improvement
toddler,logreg,temperature,4,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00402885,0.00000237,0.00402648,0.02774481,0.00007298,0.02767182,0.02540797,0.00007176,0.02533621,0.02540797,0.00007176,0.02533621
toddler,logreg,temperature,5,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00397707,0.00000023,0.00397684,0.02728085,0.00001503,0.02726581,0.02494803,0.00001492,0.02493311,0.02494803,0.00001492,0.02493311
toddler,logreg,temperature,6,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00368023,0.00000229,0.00367794,0.02625560,0.00006356,0.02619204,0.02412900,0.00006238,0.02406662,0.02412900,0.00006238,0.02406662
toddler,logreg,temperature,7,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00404160,0.00001004,0.00403156,0.02755635,0.00010448,0.02745187,0.02518676,0.00009909,0.02508768,0.02518676,0.00009909,0.02508768
toddler,logreg,temperature,8,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00414181,0.00000004,0.00414177,0.02807697,0.00000632,0.02807065,0.02566367,0.00000630,0.02565737,0.02566367,0.00000630,0.02565737
toddler,logreg,temperature,9,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00378269,0.00000000,0.00378269,0.02674616,0.00000012,0.02674603,0.02455980,0.00000012,0.02455967,0.02455980,0.00000012,0.02455967
toddler,logreg,histbin,0,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00388318,0.00000000,0.00388318,0.02717155,0.00000000,0.02717155,0.02491398,0.00000000,0.02491398,0.02491398,0.00000000,0.02491398
toddler,logreg,histbin,1,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00396740,0.00000000,0.00396740,0.02740967,0.00000000,0.02740967,0.02508592,0.00000000,0.02508592,0.02508592,0.00000000,0.02508592
toddler,logreg,histbin,2,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00373856,0.00000000,0.00373856,0.02663568,0.00000000,0.02663568,0.02447909,0.00000000,0.02447909,0.02447909,0.00000000,0.02447909
toddler,logreg,histbin,3,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00434811,0.00000000,0.00434811,0.02856797,0.00000000,0.02856797,0.02600038,0.00000000,0.02600038,0.02600038,0.00000000,0.02600038
toddler,logreg,histbin,4,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00402885,0.00000000,0.00402885,0.02774481,0.00000000,0.02774481,0.02540797,0.00000000,0.02540797,0.02540797,0.00000000,0.02540797
toddler,logreg,histbin,5,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00397707,0.00000000,0.00397707,0.02728085,0.00000000,0.02728085,0.02494803,0.00000000,0.02494803,0.02494803,0.00000000,0.02494803
toddler,logreg,histbin,6,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00368023,0.00000000,0.00368023,0.02625560,0.00000000,0.02625560,0.02412900,0.00000000,0.02412900,0.02412900,0.00000000,0.02412900
toddler,logreg,histbin,7,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00404160,0.00000000,0.00404160,0.02755635,0.00000000,0.02755635,0.02518676,0.00000000,0.02518676,0.02518676,0.00000000,0.02518676
toddler,logreg,histbin,8,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00414181,0.00009025,0.00405156,0.02807697,0.00034989,0.02772708,0.02566367,0.00029262,0.02537105,0.02566367,0.00029262,0.02537105
toddler,logreg,histbin,9,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00378269,0.00000000,0.00378269,0.02674616,0.00000000,0.02674616,0.02455980,0.00000000,0.02455980,0.02455980,0.00000000,0.02455980
toddler,logreg,isotonic,0,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00388318,0.00000000,0.00388318,0.02717155,0.00000000,0.02717155,0.02491398,0.00000000,0.02491398,0.02491398,0.00000000,0.02491398
toddler,logreg,isotonic,1,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00396740,0.00000000,0.00396740,0.02740967,0.00000000,0.02740967,0.02508592,0.00000000,0.02508592,0.02508592,0.00000000,0.02508592
toddler,logreg,isotonic,2,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00373856,0.00000000,0.00373856,0.02663568,0.00000000,0.02663568,0.02447909,0.00000000,0.02447909,0.02447909,0.00000000,0.02447909
toddler,logreg,isotonic,3,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00434811,0.00000000,0.00434811,0.02856797,0.00000000,0.02856797,0.02600038,0.00000000,0.02600038,0.02600038,0.00000000,0.02600038
toddler,logreg,isotonic,4,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00402885,0.00000000,0.00402885,0.02774481,0.00000000,0.02774481,0.02540797,0.00000000,0.02540797,0.02540797,0.00000000,0.02540797
toddler,logreg,isotonic,5,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00397707,0.00001005,0.00396702,0.02728085,0.00010303,0.02717782,0.02494803,0.00009764,0.02485039,0.02494803,0.00009764,0.02485039
toddler,logreg,isotonic,6,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00368023,0.00000091,0.00367932,0.02625560,0.00002986,0.02622574,0.02412900,0.00002940,0.02409960,0.02412900,0.00002940,0.02409960
toddler,logreg,isotonic,7,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00404160,0.00000148,0.00404011,0.02755635,0.00003827,0.02751808,0.02518676,0.00003751,0.02514926,0.02518676,0.00003751,0.02514926
toddler,logreg,isotonic,8,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00414181,0.00004085,0.00410096,0.02807697,0.00022064,0.02785633,0.02566367,0.00019686,0.02546680,0.02566367,0.00019686,0.02546680
toddler,logreg,isotonic,9,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00378269,0.00000334,0.00377934,0.02674616,0.00005807,0.02668809,0.02455980,0.00005633,0.02450347,0.02455980,0.00005633,0.02450347
toddler,logreg,beta,0,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00388318,0.00000039,0.00388279,0.02717155,0.00005442,0.02711712,0.02491398,0.00005423,0.02485975,0.02491398,0.00005423,0.02485975
toddler,logreg,beta,1,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00396740,0.00000123,0.00396616,0.02740967,0.00006557,0.02734410,0.02508592,0.00006494,0.02502097,0.02508592,0.00006494,0.02502097
toddler,logreg,beta,2,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00373856,0.00000013,0.00373844,0.02663568,0.00002518,0.02661051,0.02447909,0.00002511,0.02445397,0.02447909,0.00002511,0.02445397
toddler,logreg,beta,3,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00434811,0.00000062,0.00434748,0.02856797,0.00007467,0.02849330,0.02600038,0.00007436,0.02592603,0.02600038,0.00007436,0.02592603
toddler,logreg,beta,4,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00402885,0.00000006,0.00402879,0.02774481,0.00002973,0.02771508,0.02540797,0.00002970,0.02537827,0.02540797,0.00002970,0.02537827
toddler,logreg,beta,5,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00397707,0.00000180,0.00397527,0.02728085,0.00007035,0.02721050,0.02494803,0.00006943,0.02487860,0.02494803,0.00006943,0.02487860
toddler,logreg,beta,6,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00368023,0.00000013,0.00368011,0.02625560,0.00003117,0.02622443,0.02412900,0.00003111,0.02409789,0.02412900,0.00003111,0.02409789
toddler,logreg,beta,7,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00404160,0.00000212,0.00403948,0.02755635,0.00006687,0.02748948,0.02518676,0.00006578,0.02512099,0.02518676,0.00006578,0.02512099
toddler,logreg,beta,8,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00414181,0.00000139,0.00414042,0.02807697,0.00008871,0.02798826,0.02566367,0.00008800,0.02557567,0.02566367,0.00008800,0.02557567
toddler,logreg,beta,9,1054,0.69070209,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00378269,0.00000064,0.00378205,0.02674616,0.00004159,0.02670457,0.02455980,0.00004126,0.02451853,0.02455980,0.00004126,0.02451853
toddler,dtree,platt,0,1054,0.69070209,0.90417457,0.90986717,0.00569260,0.89760163,0.87885542,-0.01874621,0.91483516,0.96016484,0.04532967,0.88036810,0.79754601,-0.08282209,0.91409779,0.91040248,-0.00369531,0.93378278,0.93422219,0.00043941,0.08202515,0.07398587,0.00803927,2.37269058,0.27365660,2.09903398,0.07802199,0.00842614,0.06959585,0.07802199,0.01251413,0.06550786
toddler,dtree,platt,1,1054,0.69070209,0.91745731,0.91745731,0.00000000,0.91314552,0.89366615,-0.01947937,0.92445055,0.95604396,0.03159341,0.90184049,0.83128834,-0.07055215,0.92489298,0.92081634,-0.00407664,0.94255851,0.94766332,0.00510481,0.07268783,0.06752640,0.00516144,2.22130942,0.25333934,1.96797009,0.06913896,0.01009636,0.05904259,0.06913896,0.01009636,0.05904259
toddler,dtree,platt,2,1054,0.69070209,0.90986717,0.92694497,0.01707780,0.90680409,0.90307507,-0.00372902,0.91483516,0.96565934,0.05082418,0.89877301,0.84049080,-0.05828221,0.92754332,0.93056445,0.00302114,0.94329477,0.95217756,0.00888279,0.07389119,0.06421189,0.00967930,2.03290561,0.24365221,1.78925340,0.07469249,0.01511185,0.05958064,0.07469249,0.01511185,0.05958064
toddler,dtree,platt,3,1054,0.69070209,0.90796964,0.91176471,0.00379507,0.89950196,0.88615755,-0.01334440,0.92170330,0.95329670,0.03159341,0.87730061,0.81901840,-0.05828221,0.91111668,0.90457300,-0.00654369,0.93153570,0.92875037,-0.00278533,0.08241441,0.07464198,0.00777243,2.56342421,0.27713010,2.28629411,0.07877214,0.00942442,0.06934772,0.07877214,0.00942683,0.06934532
toddler,dtree,platt,4,1054,0.69070209,0.91461101,0.91650854,0.00189753,0.91447280,0.89890784,-0.01556496,0.91483516,0.94505495,0.03021978,0.91411043,0.85276074,-0.06134969,0.92599061,0.92832915,0.00233854,0.94453055,0.95111978,0.00658923,0.07534596,0.06858268,0.00676328,2.35480409,0.25370347,2.10110062,0.07250813,0.01262322,0.05988491,0.07303871,0.01262322,0.06041549
toddler,dtree,platt,5,1054,0.69070209,0.92030361,0.93168880,0.01138520,0.91774675,0.91243764,-0.00530911,0.92445055,0.96291209,0.03846154,0.91104294,0.86196319,-0.04907975,0.93336227,0.92565774,-0.00770453,0.94830742,0.94233885,-0.00596857,0.06804035,0.06014344,0.00789692,1.95454783,0.23271226,1.72183557,0.06620985,0.02251501,0.04369484,0.06620985,0.02251501,0.04369484
toddler,dtree,platt,6,1054,0.69070209,0.91555977,0.93548387,0.01992410,0.90838418,0.91010332,0.00171914,0.92719780,0.97664835,0.04945055,0.88957055,0.84355828,-0.04601227,0.92883056,0.91426001,-0.01457055,0.94286405,0.93214865,-0.01071541,0.06740279,0.05946936,0.00793343,1.85703374,0.23417161,1.62286212,0.06896884,0.02019235,0.04877649,0.06896884,0.02019235,0.04877649
toddler,dtree,platt,7,1054,0.69070209,0.89373814,0.90607211,0.01233397,0.88581204,0.88034282,-0.00546922,0.90659341,0.94780220,0.04120879,0.86503067,0.81288344,-0.05214724,0.90139174,0.89484806,-0.00654369,0.92415523,0.92095442,-0.00320081,0.09190135,0.08167891,0.01022244,2.84154449,0.29886650,2.54267799,0.09174105,0.01974536,0.07199570,0.09174105,0.01974536,0.07199570
toddler,dtree,platt,8,1054,0.69070209,0.90607211,0.91745731,0.01138520,0.90405683,0.89027843,-0.01377840,0.90934066,0.96153846,0.05219780,0.89877301,0.81901840,-0.07975460,0.92468862,0.91355845,-0.01113017,0.94184466,0.93642857,-0.00541609,0.07669125,0.06860120,0.00809004,2.10437657,0.25793058,1.84644599,0.07388573,0.00665108,0.06723465,0.07388573,0.01430812,0.05957761
toddler,dtree,platt,9,1054,0.69070209,0.90891841,0.91176471,0.00284630,0.90272956,0.88276984,-0.01995972,0.91895604,0.95879121,0.03983516,0.88650307,0.80674847,-0.07975460,0.91728325,0.91866952,0.00138627,0.93635287,0.94161970,0.00526684,0.07951803,0.07195099,0.00756703,2.33400280,0.26615487,2.06784792,0.07570765,0.00418841,0.07151923,0.07570765,0.00764213,0.06806552
toddler,dtree,temperature,0,1054,0.69070209,0.90417457,0.90417457,0.00000000,0.89760163,0.89760163,0.00000000,0.91483516,0.91483516,0.00000000,0.88036810,0.88036810,0.00000000,0.91409779,0.90838839,-0.00570940,0.93378278,0.93149111,-0.00229167,0.08202515,0.07481946,0.00720569,2.37269058,0.27713719,2.09555339,0.07802199,0.02318416,0.05483783,0.07802199,0.02318416,0.05483783
toddler,dtree,temperature,1,1054,0.69070209,0.91745731,0.91745731,0.00000000,0.91314552,0.91314552,0.00000000,0.92445055,0.92445055,0.00000000,0.90184049,0.90184049,0.00000000,0.92489298,0.92209727,-0.00279571,0.94255851,0.94796063,0.00540212,0.07268783,0.06798750,0.00470033,2.22130942,0.25849844,1.96281099,0.06913896,0.02893929,0.04019967,0.06913896,0.02893929,0.04019967
toddler,dtree,temperature,2,1054,0.69070209,0.90986717,0.90986717,0.00000000,0.90680409,0.90680409,0.00000000,0.91483516,0.91483516,0.00000000,0.89877301,0.89877301,0.00000000,0.92754332,0.93040433,0.00286102,0.94329477,0.95262252,0.00932775,0.07389119,0.06601383,0.00787736,2.03290561,0.24948151,1.78342410,0.07469249,0.02950311,0.04518938,0.07469249,0.02950311,0.04518938
toddler,dtree,temperature,3,1054,0.69070209,0.90796964,0.90796964,0.00000000,0.89950196,0.89950196,0.00000000,0.92170330,0.92170330,0.00000000,0.87730061,0.87730061,0.00000000,0.91111668,0.90454771,-0.00656897,0.93153570,0.92873934,-0.00279637,0.08241441,0.07552987,0.00688455,2.56342421,0.28159839,2.28182582,0.07877214,0.02225529,0.05651686,0.07877214,0.02225529,0.05651686
toddler,dtree,temperature,4,1054,0.69070209,0.91461101,0.91461101,0.00000000,0.91447280,0.91447280,0.00000000,0.91483516,0.91483516,0.00000000,0.91411043,0.91411043,0.00000000,0.92599061,0.92769290,0.00170229,0.94453055,0.94973296,0.00520241,0.07534596,0.07006703,0.00527893,2.35480409,0.26407566,2.09072842,0.07250813,0.03984358,0.03266456,0.07303871,0.03984358,0.03319514
toddler,dtree,temperature,5,1054,0.69070209,0.92030361,0.92030361,0.00000000,0.91774675,0.91774675,0.00000000,0.92445055,0.92445055,0.00000000,0.91104294,0.91104294,0.00000000,0.93336227,0.93102584,-0.00233643,0.94830742,0.94765163,-0.00065579,0.06804035,0.06166639,0.00637396,1.95454783,0.23858298,1.71596485,0.06620985,0.03298606,0.03322379,0.06620985,0.03298606,0.03322379
