cohort,model,repeat,n,positive_rate,accuracy,balanced_accuracy,sensitivity,specificity,auroc,auprc,brier,log_loss,ece_5,ece_10
child,mlp,7,290,0.48275862,0.88275862,0.88380952,0.91428571,0.85333333,0.95685714,0.95889174,0.11224084,0.36959589,0.14070358,0.14943694
child,mlp,8,290,0.48275862,0.94827586,0.94809524,0.94285714,0.95333333,0.99300000,0.99235032,0.07613637,0.28584419,0.17359361,0.17650294
child,mlp,9,290,0.48275862,0.87241379,0.87357143,0.90714286,0.84000000,0.95204762,0.94945974,0.14554651,0.46757823,0.19503025,0.22004784
adolescent,logreg,0,103,0.60194175,0.98058252,0.97974036,0.98387097,0.97560976,0.99685287,0.99805229,0.03103097,0.12272584,0.07043175,0.08203754
adolescent,logreg,1,103,0.60194175,0.95145631,0.94728560,0.96774194,0.92682927,0.99252557,0.99552708,0.03910837,0.14192056,0.06161957,0.07088362
adolescent,logreg,2,103,0.60194175,0.94174757,0.93509048,0.96774194,0.90243902,0.98780488,0.99227871,0.04787318,0.16508809,0.04690643,0.05778383
adolescent,logreg,3,103,0.60194175,0.93203883,0.93115657,0.93548387,0.92682927,0.98701810,0.99204572,0.05091506,0.17282046,0.05110333,0.06602453
adolescent,logreg,4,103,0.60194175,0.97087379,0.96754524,0.98387097,0.95121951,0.99527931,0.99716210,0.04063451,0.14602193,0.06721947,0.08857128
adolescent,logreg,5,103,0.60194175,0.94174757,0.93509048,0.96774194,0.90243902,0.99213218,0.99513458,0.04246789,0.15001064,0.05753591,0.06171909
adolescent,logreg,6,103,0.60194175,0.90291262,0.89457120,0.93548387,0.85365854,0.98151062,0.98825901,0.05334404,0.17451016,0.03881466,0.08827507
adolescent,logreg,7,103,0.60194175,0.93203883,0.92289536,0.96774194,0.87804878,0.98426436,0.98991430,0.05391323,0.17798818,0.05484297,0.07979671
adolescent,logreg,8,103,0.60194175,0.94174757,0.93922109,0.95161290,0.92682927,0.99291896,0.99558544,0.04058462,0.14423352,0.05690304,0.07327318
adolescent,logreg,9,103,0.60194175,0.95145631,0.94728560,0.96774194,0.92682927,0.99173879,0.99496260,0.04381641,0.15379044,0.06785144,0.06785144
adolescent,dtree,0,103,0.60194175,0.80582524,0.80566483,0.80645161,0.80487805,0.81766326,0.84077576,0.18147355,5.35249552,0.16912557,0.16912557
adolescent,dtree,1,103,0.60194175,0.79611650,0.79346971,0.80645161,0.78048780,0.79858379,0.81110171,0.19187975,6.02794736,0.16816237,0.18473541
adolescent,dtree,2,103,0.60194175,0.77669903,0.76081825,0.83870968,0.68292683,0.76809599,0.77278174,0.20997803,6.72186955,0.20843314,0.21332568
adolescent,dtree,3,103,0.60194175,0.76699029,0.75275374,0.82258065,0.68292683,0.76907946,0.77566678,0.20995218,6.71870972,0.19879817,0.19879817
adolescent,dtree,4,103,0.60194175,0.73786408,0.72856019,0.77419355,0.68292683,0.75334382,0.76980573,0.23050720,7.09835520,0.21593863,0.21972740
adolescent,dtree,5,103,0.60194175,0.76699029,0.76927616,0.75806452,0.78048780,0.78619197,0.79825516,0.20976782,6.71822968,0.20238995,0.20238995
adolescent,dtree,6,103,0.60194175,0.81553398,0.80546814,0.85483871,0.75609756,0.81943352,0.82134218,0.17193248,5.64665814,0.16669924,0.17096161
adolescent,dtree,7,103,0.60194175,0.78640777,0.77301338,0.83870968,0.70731707,0.80723839,0.81998130,0.18789820,5.69165351,0.16536913,0.16560308
adolescent,dtree,8,103,0.60194175,0.79611650,0.78107789,0.85483871,0.70731707,0.80664831,0.81050263,0.18565479,5.68156750,0.16724147,0.18253922
adolescent,dtree,9,103,0.60194175,0.73786408,0.73269079,0.75806452,0.70731707,0.76455547,0.77243180,0.22058268,6.74569075,0.21640511,0.21640511
adolescent,knn,0,103,0.60194175,0.80582524,0.76022817,0.98387097,0.53658537,0.97639654,0.98042435,0.10757282,0.28888513,0.13398058,0.13398058
adolescent,knn,1,103,0.60194175,0.81553398,0.77242329,0.98387097,0.56097561,0.95535012,0.95134684,0.10834951,0.94290798,0.13398058,0.13398058
adolescent,knn,2,103,0.60194175,0.83495146,0.79681353,0.98387097,0.60975610,0.93784422,0.93022342,0.11572816,1.29209916,0.13592233,0.13592233
adolescent,knn,3,103,0.60194175,0.79611650,0.74803304,0.98387097,0.51219512,0.95712038,0.96100201,0.12504854,0.33832473,0.13980583,0.13980583
adolescent,knn,4,103,0.60194175,0.82524272,0.78461841,0.98387097,0.58536585,0.95377655,0.95528883,0.12194175,0.65649495,0.13980583,0.13980583
adolescent,knn,5,103,0.60194175,0.85436893,0.82120378,0.98387097,0.65853659,0.97010228,0.97447928,0.10407767,0.28699441,0.12038835,0.12038835
adolescent,knn,6,103,0.60194175,0.82524272,0.78461841,0.98387097,0.58536585,0.94295830,0.93585718,0.11145631,1.27722075,0.13398058,0.13398058
adolescent,knn,7,103,0.60194175,0.82524272,0.78048780,1.00000000,0.56097561,0.93253344,0.91979242,0.11300971,1.60811390,0.13398058,0.13398058
adolescent,knn,8,103,0.60194175,0.84466019,0.80900865,0.98387097,0.63414634,0.93843430,0.93052835,0.11262136,1.28536958,0.13203883,0.13203883
adolescent,knn,9,103,0.60194175,0.83495146,0.79268293,1.00000000,0.58536585,0.95554681,0.95606057,0.11067961,0.63059954,0.13009709,0.13009709
adolescent,nb,0,103,0.60194175,0.73786408,0.71616837,0.82258065,0.60975610,0.69374508,0.69437870,0.25015897,5.71757499,0.25008963,0.25786187
adolescent,nb,1,103,0.60194175,0.78640777,0.76475216,0.87096774,0.65853659,0.86369001,0.88768325,0.18025448,1.84115607,0.18884617,0.19280883
adolescent,nb,2,103,0.60194175,0.74757282,0.72836349,0.82258065,0.63414634,0.72324941,0.71811683,0.25585825,4.37666829,0.25699119,0.26672150
adolescent,nb,3,103,0.60194175,0.67961165,0.65125885,0.79032258,0.51219512,0.71715185,0.74378337,0.29984421,5.44151928,0.29911993,0.31923353
adolescent,nb,4,103,0.60194175,0.74757282,0.72423289,0.83870968,0.60975610,0.76396538,0.75346716,0.22734077,4.45022027,0.23378638,0.23378638
adolescent,nb,5,103,0.60194175,0.69902913,0.67151849,0.80645161,0.53658537,0.73780488,0.74783505,0.26443298,4.99009438,0.27283409,0.27283409
adolescent,nb,6,103,0.60194175,0.62135922,0.59874115,0.70967742,0.48780488,0.65047207,0.67635910,0.34756501,6.20917478,0.34366227,0.34366227
adolescent,nb,7,103,0.60194175,0.72815534,0.70810386,0.80645161,0.60975610,0.77143981,0.76854331,0.25075832,3.74269399,0.25622568,0.25622568
adolescent,nb,8,103,0.60194175,0.74757282,0.73249410,0.80645161,0.65853659,0.79228954,0.78259775,0.21854216,3.61611394,0.22518109,0.22518109
adolescent,nb,9,103,0.60194175,0.75728155,0.73642801,0.83870968,0.63414634,0.80743509,0.81780385,0.22851114,3.18276339,0.22342109,0.22896343
adolescent,rf,0,103,0.60194175,0.94174757,0.92682927,1.00000000,0.85365854,0.97954367,0.98557381,0.10656880,0.37134682,0.19800772,0.22781752
adolescent,rf,1,103,0.60194175,0.91262136,0.90676633,0.93548387,0.87804878,0.97954367,0.98623383,0.10793199,0.37450810,0.16477019,0.20241167
adolescent,rf,2,103,0.60194175,0.87378641,0.86211644,0.91935484,0.80487805,0.96459481,0.97781137,0.11178461,0.38027384,0.17154114,0.17154114
adolescent,rf,3,103,0.60194175,0.87378641,0.86624705,0.90322581,0.82926829,0.96026751,0.97466725,0.11774744,0.39411208,0.16198283,0.16619759
adolescent,rf,4,103,0.60194175,0.93203883,0.92289536,0.96774194,0.87804878,0.98151062,0.98763211,0.10938832,0.37681612,0.16217782,0.22425102
adolescent,rf,5,103,0.60194175,0.89320388,0.88650669,0.91935484,0.85365854,0.97600315,0.98402457,0.10778499,0.37336531,0.17370149,0.17996159
adolescent,rf,6,103,0.60194175,0.90291262,0.88630999,0.96774194,0.80487805,0.96656176,0.97672600,0.11110420,0.38016226,0.14456854,0.18854316
adolescent,rf,7,103,0.60194175,0.90291262,0.89044060,0.95161290,0.82926829,0.96066090,0.97213901,0.11082953,0.37961813,0.16260148,0.18537913
adolescent,rf,8,103,0.60194175,0.92233010,0.91070024,0.96774194,0.85365854,0.97875688,0.98603070,0.10197482,0.35807424,0.17941233,0.19670282
adolescent,rf,9,103,0.60194175,0.89320388,0.87824548,0.95161290,0.80487805,0.96656176,0.97516130,0.11196994,0.38098221,0.15015570,0.18104467
adolescent,svm,0,103,0.60194175,0.95145631,0.94728560,0.96774194,0.92682927,0.99488592,0.99676692,0.10940619,0.38971447,0.20869919,0.26441934
adolescent,svm,1,103,0.60194175,0.94174757,0.93922109,0.95161290,0.92682927,0.99173879,0.99507082,0.11422553,0.39960013,0.19529626,0.25953694
adolescent,svm,2,103,0.60194175,0.90291262,0.89457120,0.93548387,0.85365854,0.97521637,0.98479926,0.12000760,0.41080341,0.19402618,0.21995418
adolescent,svm,3,103,0.60194175,0.90291262,0.89870181,0.91935484,0.87804878,0.97482297,0.98418945,0.12191046,0.41523594,0.19445737,0.22413732
adolescent,svm,4,103,0.60194175,0.92233010,0.91896145,0.93548387,0.90243902,0.98347758,0.98915760,0.11634312,0.40362711,0.22765237,0.23885677
adolescent,svm,5,103,0.60194175,0.92233010,0.91896145,0.93548387,0.90243902,0.98190401,0.98866235,0.11730950,0.40502466,0.20091694,0.23768320
adolescent,svm,6,103,0.60194175,0.90291262,0.89457120,0.93548387,0.85365854,0.97875688,0.98658082,0.11832346,0.40777388,0.21868461,0.21969889
adolescent,svm,7,103,0.60194175,0.90291262,0.89457120,0.93548387,0.85365854,0.97797010,0.98570762,0.11834187,0.40745313,0.19669025,0.21811627
adolescent,svm,8,103,0.60194175,0.91262136,0.90263572,0.95161290,0.85365854,0.97915028,0.98645720,0.11492359,0.39957312,0.20794782,0.22259743
adolescent,svm,9,103,0.60194175,0.91262136,0.90676633,0.93548387,0.87804878,0.97915028,0.98653535,0.11682024,0.40329779,0.20103544,0.22819061
adolescent,xgb,0,103,0.60194175,0.95145631,0.94315500,0.98387097,0.90243902,0.98623131,0.99046366,0.04623625,0.16833339,0.07141998,0.09569603
adolescent,xgb,1,103,0.60194175,0.95145631,0.94728560,0.96774194,0.92682927,0.98859166,0.99266451,0.05091543,0.18043716,0.06043992,0.08934092
adolescent,xgb,2,103,0.60194175,0.88349515,0.87018096,0.93548387,0.80487805,0.97206924,0.98221308,0.07019891,0.22257889,0.04919058,0.07168235
adolescent,xgb,3,103,0.60194175,0.93203883,0.92289536,0.96774194,0.87804878,0.97915028,0.98635258,0.06012679,0.20415246,0.05508895,0.06093381
adolescent,xgb,4,103,0.60194175,0.93203883,0.93115657,0.93548387,0.92682927,0.98229740,0.98869185,0.05624182,0.19067865,0.04298950,0.07999149
adolescent,xgb,5,103,0.60194175,0.90291262,0.89870181,0.91935484,0.87804878,0.97167585,0.98152610,0.06641127,0.21579334,0.05193991,0.07330823
adolescent,xgb,6,103,0.60194175,0.92233010,0.91070024,0.96774194,0.85365854,0.96813533,0.97766884,0.06691535,0.22116476,0.06143750,0.08502746
adolescent,xgb,7,103,0.60194175,0.87378641,0.86211644,0.91935484,0.80487805,0.94649882,0.95997784,0.08185773,0.26918518,0.05098142,0.05577692
adolescent,xgb,8,103,0.60194175,0.91262136,0.90263572,0.95161290,0.85365854,0.97364280,0.98256639,0.06306088,0.20573605,0.05825796,0.08692360
adolescent,xgb,9,103,0.60194175,0.93203883,0.91876475,0.98387097,0.85365854,0.99252557,0.99498958,0.04708884,0.17188932,0.09033650,0.09528264
adolescent,adaboost,0,103,0.60194175,0.85436893,0.81707317,1.00000000,0.63414634,0.95121951,0.96429565,0.13075063,0.43083806,0.17179226,0.17179226
adolescent,adaboost,1,103,0.60194175,0.83495146,0.80094414,0.96774194,0.63414634,0.94413847,0.96372901,0.13241220,0.43359091,0.17938269,0.17938269
adolescent,adaboost,2,103,0.60194175,0.78640777,0.74822974,0.93548387,0.56097561,0.91129032,0.94164557,0.14325824,0.45529281,0.18381803,0.18381803
adolescent,adaboost,3,103,0.60194175,0.75728155,0.71577498,0.91935484,0.51219512,0.87490165,0.91988143,0.15790230,0.48861580,0.12655699,0.12655699
adolescent,adaboost,4,103,0.60194175,0.81553398,0.77655389,0.96774194,0.58536585,0.91384736,0.94042541,0.14221151,0.45455966,0.16150489,0.16150489
adolescent,adaboost,5,103,0.60194175,0.83495146,0.79681353,0.98387097,0.60975610,0.92899292,0.95423015,0.13727860,0.44409917,0.14398420,0.14398420
adolescent,adaboost,6,103,0.60194175,0.82524272,0.79287962,0.95161290,0.63414634,0.91994493,0.94540101,0.13749763,0.44340067,0.11688877,0.13614199
adolescent,adaboost,7,103,0.60194175,0.81553398,0.78068450,0.95161290,0.60975610,0.86152636,0.85491935,0.14746327,0.47163745,0.14068553,0.14068553
adolescent,adaboost,8,103,0.60194175,0.84466019,0.80900865,0.98387097,0.63414634,0.94059795,0.96038506,0.13469751,0.43916391,0.17878037,0.17878037
adolescent,adaboost,9,103,0.60194175,0.84466019,0.80900865,0.98387097,0.63414634,0.93607396,0.95445498,0.13247166,0.43275051,0.18360508,0.18360508
adolescent,mlp,0,103,0.60194175,0.81553398,0.81785995,0.80645161,0.82926829,0.89535799,0.90909741,0.14496376,0.45859472,0.16365441,0.16365441
adolescent,mlp,1,103,0.60194175,0.84466019,0.85857592,0.79032258,0.92682927,0.92918961,0.95704965,0.16507523,0.51115549,0.19942550,0.20974632
adolescent,mlp,2,103,0.60194175,0.73786408,0.74095201,0.72580645,0.75609756,0.79464988,0.87783619,0.19596002,0.57741439,0.12801721,0.17073264
adolescent,mlp,3,103,0.60194175,0.85436893,0.85011802,0.87096774,0.82926829,0.93509048,0.95972034,0.13750556,0.43569694,0.14279459,0.17005949
adolescent,mlp,4,103,0.60194175,0.72815534,0.75354052,0.62903226,0.87804878,0.81038552,0.89333253,0.19403520,0.57260740,0.13779115,0.14120739
adolescent,mlp,5,103,0.60194175,0.82524272,0.82179386,0.83870968,0.80487805,0.91306058,0.93563166,0.15804768,0.49365629,0.18564636,0.18564636
adolescent,mlp,6,103,0.60194175,0.79611650,0.76455547,0.91935484,0.60975610,0.88316286,0.92085567,0.16176638,0.50019425,0.13877040,0.14857947
adolescent,mlp,7,103,0.60194175,0.86407767,0.83752950,0.96774194,0.70731707,0.93194335,0.95108427,0.15276309,0.48406010,0.16934788,0.21984758
adolescent,mlp,8,103,0.60194175,0.79611650,0.77281668,0.88709677,0.65853659,0.79583006,0.76429441,0.17887485,0.54638264,0.16463073,0.16463073
adolescent,mlp,9,103,0.60194175,0.83495146,0.81746656,0.90322581,0.73170732,0.88119591,0.90439294,0.17539445,0.53629883,0.15344989,0.21462573
adult,logreg,0,699,0.26752504,0.99713877,0.99804688,1.00000000,0.99609375,1.00000000,1.00000000,0.00730060,0.03781540,0.03318198,0.03318198
adult,logreg,1,699,0.26752504,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00721414,0.03728971,0.03276351,0.03276351
adult,logreg,2,699,0.26752504,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00720402,0.03774864,0.03330708,0.03330708
adult,logreg,3,699,0.26752504,0.99713877,0.99804688,1.00000000,0.99609375,1.00000000,1.00000000,0.00787916,0.03873498,0.03364093,0.03364093
adult,logreg,4,699,0.26752504,0.99856938,0.99902344,1.00000000,0.99804688,1.00000000,1.00000000,0.00752114,0.03785189,0.03308438,0.03308438
adult,logreg,5,699,0.26752504,0.99713877,0.99634964,0.99465241,0.99804688,0.99997911,0.99994296,0.00749079,0.03787762,0.02892748,0.03143214
adult,logreg,6,699,0.26752504,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00708936,0.03707630,0.03268888,0.03268888
adult,logreg,7,699,0.26752504,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00680545,0.03606341,0.03185519,0.03185519
adult,logreg,8,699,0.26752504,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00724370,0.03789087,0.03347563,0.03347563
adult,logreg,9,699,0.26752504,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00729710,0.03778189,0.03327422,0.03327422
adult,dtree,0,699,0.26752504,0.89985694,0.89599870,0.88770053,0.90429688,0.90415587,0.74856787,0.09298404,2.92296277,0.08839856,0.08839856
adult,dtree,1,699,0.26752504,0.91416309,0.90406710,0.88235294,0.92578125,0.91497640,0.79838914,0.07598442,2.30407967,0.07120194,0.07120194
adult,dtree,2,699,0.26752504,0.92560801,0.91018236,0.87700535,0.94335938,0.91415650,0.79689581,0.07151749,2.34075331,0.06765977,0.06765977
adult,dtree,3,699,0.26752504,0.91702432,0.91450639,0.90909091,0.91992188,0.92267401,0.79218035,0.07558022,2.30399178,0.06895126,0.06895126
adult,dtree,4,699,0.26752504,0.91416309,0.90746156,0.89304813,0.92187500,0.91115892,0.76540707,0.08234011,2.65655408,0.07762084,0.07762084
adult,dtree,5,699,0.26752504,0.90557940,0.89141878,0.86096257,0.92187500,0.89872472,0.75971221,0.08735198,2.76500419,0.08171131,0.08171131
adult,dtree,6,699,0.26752504,0.89842632,0.87804980,0.83422460,0.92187500,0.88566385,0.74414845,0.09536528,2.97736699,0.09004564,0.09004564
adult,dtree,7,699,0.26752504,0.91702432,0.91111192,0.89839572,0.92382812,0.91767630,0.78531909,0.07730334,2.40408552,0.07213090,0.07213090
adult,dtree,8,699,0.26752504,0.90271817,0.88946566,0.86096257,0.91796875,0.90263620,0.77928009,0.08541724,2.56705521,0.08462735,0.08462735
adult,dtree,9,699,0.26752504,0.89842632,0.88144427,0.84491979,0.91796875,0.88831676,0.74024811,0.09457848,3.02297197,0.08954191,0.08954191
adult,knn,0,699,0.26752504,0.95994278,0.95738114,0.95187166,0.96289062,0.99296039,0.97499497,0.03135908,0.09443547,0.01773963,0.01773963
adult,knn,1,699,0.26752504,0.95994278,0.95398667,0.94117647,0.96679688,0.99258961,0.97193534,0.03050072,0.13991574,0.01688126,0.01974249
adult,knn,2,699,0.26752504,0.95135908,0.94812730,0.94117647,0.95507812,0.99280373,0.97490594,0.03118741,0.09250392,0.01688126,0.01688126
adult,knn,3,699,0.26752504,0.95851216,0.95131288,0.93582888,0.96679688,0.99063127,0.97394256,0.03072961,0.14057197,0.01745351,0.01745351
adult,knn,4,699,0.26752504,0.95851216,0.95301011,0.94117647,0.96484375,0.99244861,0.97161816,0.03141631,0.14097522,0.02031474,0.02031474
adult,knn,5,699,0.26752504,0.96280401,0.95763703,0.94652406,0.96875000,0.99387951,0.97808721,0.02935622,0.08972040,0.01630901,0.01630901
adult,knn,6,699,0.26752504,0.95422031,0.94498872,0.92513369,0.96484375,0.98912726,0.96946384,0.03399142,0.14886485,0.01945637,0.01945637
adult,knn,7,699,0.26752504,0.95278970,0.94740663,0.93582888,0.95898438,0.99319017,0.97648927,0.03090129,0.09231926,0.01831187,0.01831187
adult,knn,8,699,0.26752504,0.95708155,0.95203355,0.94117647,0.96289062,0.99418763,0.97900683,0.02889843,0.08846956,0.02145923,0.02145923
adult,knn,9,699,0.26752504,0.94706724,0.94519761,0.94117647,0.94921875,0.98990015,0.97168969,0.03347639,0.14488494,0.02145923,0.02145923
adult,nb,0,699,0.26752504,0.93848355,0.93085206,0.91443850,0.94726562,0.98207721,0.95656037,0.04710832,0.16807374,0.02769973,0.03428895
adult,nb,1,699,0.26752504,0.93848355,0.93254930,0.91978610,0.94531250,0.98298588,0.95896791,0.04743924,0.16508506,0.02960681,0.03076528
adult,nb,2,699,0.26752504,0.93419170,0.92792238,0.91443850,0.94140625,0.98270388,0.95795862,0.04773748,0.16606452,0.03125677,0.03222922
adult,nb,3,699,0.26752504,0.93991416,0.93182863,0.91443850,0.94921875,0.98350810,0.96054846,0.04542087,0.16148984,0.02276815,0.03072853
adult,nb,4,699,0.26752504,0.93705293,0.93157274,0.91978610,0.94335938,0.98200409,0.95687658,0.04901577,0.17006486,0.03189839,0.03189839
adult,nb,5,699,0.26752504,0.93705293,0.93326997,0.92513369,0.94140625,0.98256810,0.95816634,0.04612852,0.16641305,0.02900250,0.03408102
adult,nb,6,699,0.26752504,0.93562232,0.93059617,0.91978610,0.94140625,0.98359166,0.96020357,0.04619989,0.16087788,0.02542490,0.03445414
adult,nb,7,699,0.26752504,0.94134478,0.93280519,0.91443850,0.95117188,0.98366477,0.96109162,0.04536215,0.15953166,0.02496254,0.03404602
adult,nb,8,699,0.26752504,0.93991416,0.93352586,0.91978610,0.94726562,0.98362299,0.96011519,0.04559292,0.16085856,0.02606654,0.03548729
adult,nb,9,699,0.26752504,0.93991416,0.93352586,0.91978610,0.94726562,0.98373788,0.96022804,0.04486837,0.16084893,0.02483753,0.03521243
adult,rf,0,699,0.26752504,0.95708155,0.95712525,0.95721925,0.95703125,0.99349306,0.98245322,0.05356653,0.21144312,0.12767212,0.12767212
adult,rf,1,699,0.26752504,0.96423462,0.96709977,0.97326203,0.96093750,0.99537308,0.98779883,0.05264079,0.21021704,0.13071716,0.13234876
adult,rf,2,699,0.26752504,0.95565093,0.95954316,0.96791444,0.95117188,0.99461063,0.98555672,0.05352385,0.21163277,0.12642616,0.12642616
adult,rf,3,699,0.26752504,0.95851216,0.95979905,0.96256684,0.95703125,0.99498663,0.98670369,0.05277928,0.21046724,0.13417771,0.13417771
adult,rf,4,699,0.26752504,0.95851216,0.96149628,0.96791444,0.95507812,0.99481952,0.98616178,0.05320510,0.21213116,0.13361747,0.13361747
adult,rf,5,699,0.26752504,0.95851216,0.96149628,0.96791444,0.95507812,0.99347218,0.98270816,0.05369993,0.21113378,0.13215561,0.13215561
adult,rf,6,699,0.26752504,0.95708155,0.95712525,0.95721925,0.95703125,0.99443307,0.98568196,0.05292221,0.21017754,0.13151772,0.13151772
adult,rf,7,699,0.26752504,0.95278970,0.95759003,0.96791444,0.94726562,0.99526863,0.98741166,0.05239418,0.20948485,0.14164966,0.14164966
adult,rf,8,699,0.26752504,0.96137339,0.96514664,0.97326203,0.95703125,0.99589530,0.98894281,0.05153622,0.20698137,0.13548510,0.13548510
adult,rf,9,699,0.26752504,0.95994278,0.96077561,0.96256684,0.95898438,0.99471507,0.98611382,0.05404462,0.21372487,0.13197610,0.13197610
adult,svm,0,699,0.26752504,0.98426323,0.98586334,0.98930481,0.98242188,0.99870488,0.99668424,0.05236453,0.22573144,0.16407593,0.17372793
adult,svm,1,699,0.26752504,0.97854077,0.98195709,0.98930481,0.97460938,0.99895555,0.99721415,0.05264233,0.22690732,0.16806975,0.16882069
adult,svm,2,699,0.26752504,0.98426323,0.98416611,0.98395722,0.98437500,0.99918533,0.99789154,0.05232325,0.22654339,0.16211057,0.17493065
adult,svm,3,699,0.26752504,0.97567954,0.97830673,0.98395722,0.97265625,0.99910177,0.99768889,0.05205175,0.22569123,0.16639613,0.16639613
adult,svm,4,699,0.26752504,0.98140200,0.98391022,0.98930481,0.97851562,0.99936288,0.99831637,0.05076010,0.22222442,0.16578872,0.16869259
adult,svm,5,699,0.26752504,0.98283262,0.98488678,0.98930481,0.98046875,0.99919577,0.99789002,0.05158836,0.22476502,0.16427172,0.17219945
adult,svm,6,699,0.26752504,0.98140200,0.98391022,0.98930481,0.97851562,0.99916444,0.99771068,0.05118874,0.22319172,0.15789976,0.16934629
adult,svm,7,699,0.26752504,0.98283262,0.98488678,0.98930481,0.98046875,0.99919577,0.99789569,0.05171145,0.22486239,0.16815180,0.17179828
adult,svm,8,699,0.26752504,0.97997139,0.97953919,0.97860963,0.98046875,0.99857955,0.99644069,0.05237762,0.22599248,0.16291303,0.16971092
adult,svm,9,699,0.26752504,0.98140200,0.98560745,0.99465241,0.97656250,0.99922711,0.99792072,0.05211191,0.22566028,0.16629582,0.17119294
adult,xgb,0,699,0.26752504,0.97997139,0.97953919,0.97860963,0.98046875,0.99729487,0.99248758,0.02000252,0.07119979,0.01852487,0.02699333
adult,xgb,1,699,0.26752504,0.97711016,0.97758606,0.97860963,0.97656250,0.99777532,0.99367162,0.01912963,0.06914148,0.02287892,0.02347656
adult,xgb,2,699,0.26752504,0.98569385,0.98514267,0.98395722,0.98632812,0.99885110,0.99679533,0.01471283,0.05754403,0.02591789,0.02704143
adult,xgb,3,699,0.26752504,0.98140200,0.98391022,0.98930481,0.97851562,0.99827665,0.99533394,0.01797394,0.06548078,0.02354951,0.02676395
adult,xgb,4,699,0.26752504,0.97997139,0.98293366,0.98930481,0.97656250,0.99855866,0.99593263,0.01659869,0.06272629,0.02776449,0.02776449
adult,xgb,5,699,0.26752504,0.97854077,0.98025986,0.98395722,0.97656250,0.99790065,0.99408701,0.01907304,0.06933792,0.02413772,0.02499270
adult,xgb,6,699,0.26752504,0.98569385,0.98514267,0.98395722,0.98632812,0.99907044,0.99732332,0.01467002,0.05769318,0.03087548,0.03087548
adult,xgb,7,699,0.26752504,0.97567954,0.97660950,0.97860963,0.97460938,0.99821399,0.99514647,0.01833091,0.06577513,0.02445012,0.02445012
adult,xgb,8,699,0.26752504,0.98426323,0.98756058,0.99465241,0.98046875,0.99860043,0.99612580,0.01625833,0.06098651,0.02439706,0.02662056
adult,xgb,9,699,0.26752504,0.98855508,0.99049027,0.99465241,0.98632812,0.99884066,0.99667191,0.01518054,0.05984962,0.02899001,0.03023645
adult,adaboost,0,699,0.26752504,0.87124464,0.90192597,0.96791444,0.83593750,0.97212880,0.92857957,0.10768506,0.36932389,0.18707453,0.18843983
adult,adaboost,1,699,0.26752504,0.87696710,0.90752945,0.97326203,0.84179688,0.97552327,0.93631138,0.10605766,0.36642667,0.19004421,0.20037235
adult,adaboost,2,699,0.26752504,0.89127325,0.91899231,0.97860963,0.85937500,0.97371115,0.93111722,0.10730661,0.36926455,0.18889081,0.19372250
adult,adaboost,3,699,0.26752504,0.87124464,0.90362320,0.97326203,0.83398438,0.97480260,0.93289291,0.10685637,0.36884857,0.18646266,0.19553272
adult,adaboost,4,699,0.26752504,0.88268956,0.91143570,0.97326203,0.84960938,0.97417071,0.93193853,0.10759907,0.37102939,0.19487954,0.19487954
adult,adaboost,5,699,0.26752504,0.88698140,0.91266816,0.96791444,0.85742188,0.97503760,0.92875663,0.10585477,0.36709823,0.18914228,0.20542337
adult,adaboost,6,699,0.26752504,0.87839771,0.90511155,0.96256684,0.84765625,0.97282858,0.92997237,0.10711881,0.36885135,0.18544301,0.19514065
adult,adaboost,7,699,0.26752504,0.87839771,0.91020325,0.97860963,0.84179688,0.97418115,0.93136273,0.10768005,0.36980168,0.19266371,0.20074588
adult,adaboost,8,699,0.26752504,0.87982833,0.90778534,0.96791444,0.84765625,0.97474515,0.93600835,0.10597692,0.36577744,0.18909948,0.19968551
adult,adaboost,9,699,0.26752504,0.89127325,0.91899231,0.97860963,0.85937500,0.97212880,0.92261857,0.10688538,0.36889830,0.18295993,0.19462848
adult,mlp,0,699,0.26752504,0.97567954,0.98170120,0.99465241,0.96875000,0.99808865,0.99482185,0.02366482,0.09463323,0.05212856,0.05411468
adult,mlp,1,699,0.26752504,0.95994278,0.96756455,0.98395722,0.95117188,0.99680398,0.99149398,0.03360573,0.13307754,0.07622949,0.07622949
adult,mlp,2,699,0.26752504,0.97567954,0.98170120,0.99465241,0.96875000,0.99878844,0.99682095,0.02076682,0.08112922,0.04927067,0.04927067
adult,mlp,3,699,0.26752504,0.97567954,0.98170120,0.99465241,0.96875000,0.99901822,0.99744649,0.02512104,0.10236712,0.06640461,0.06793611
adult,mlp,4,699,0.26752504,0.97567954,0.97830673,0.98395722,0.97265625,0.99875710,0.99684719,0.01998382,0.08145772,0.04722282,0.04775269
adult,mlp,5,699,0.26752504,0.96423462,0.96709977,0.97326203,0.96093750,0.99790065,0.99478059,0.02545259,0.10248798,0.06314709,0.06314709
