cohort,model,repeat,n,positive_rate,accuracy,balanced_accuracy,sensitivity,specificity,auroc,auprc,brier,log_loss,ece_5,ece_10
toddler,nb,9,1054,0.69070209,0.91176471,0.90224921,0.92719780,0.87730061,0.96814957,0.97304237,0.06949608,0.43487003,0.06445551,0.06445551
toddler,rf,0,1054,0.69070209,0.95920304,0.96199774,0.95467033,0.96932515,0.99550833,0.99802943,0.04210319,0.16086745,0.08580975,0.08580975
toddler,rf,1,1054,0.69070209,0.96489564,0.96527169,0.96428571,0.96625767,0.99537771,0.99794602,0.04227159,0.16076841,0.08628264,0.08905884
toddler,rf,2,1054,0.69070209,0.95825427,0.96131093,0.95329670,0.96932515,0.99507011,0.99780079,0.04308789,0.16307927,0.08966746,0.08966746
toddler,rf,3,1054,0.69070209,0.95351044,0.95364222,0.95329670,0.95398773,0.99461926,0.99762877,0.04374716,0.16432425,0.08654097,0.08654097
toddler,rf,4,1054,0.69070209,0.95635674,0.95909037,0.95192308,0.96625767,0.99490578,0.99773876,0.04383064,0.16493321,0.08795177,0.08795177
toddler,rf,5,1054,0.69070209,0.96110057,0.96252444,0.95879121,0.96625767,0.99436645,0.99755224,0.04389948,0.16427614,0.08159679,0.08593574
toddler,rf,6,1054,0.69070209,0.96015180,0.96268455,0.95604396,0.96932515,0.99597182,0.99824144,0.04188505,0.16024416,0.09231647,0.09231647
toddler,rf,7,1054,0.69070209,0.96015180,0.96268455,0.95604396,0.96932515,0.99528501,0.99792482,0.04292455,0.16229232,0.08709293,0.08709293
toddler,rf,8,1054,0.69070209,0.95635674,0.95654959,0.95604396,0.95705521,0.99444650,0.99751495,0.04400530,0.16530095,0.08984881,0.08984881
toddler,rf,9,1054,0.69070209,0.95825427,0.95538242,0.96291209,0.94785276,0.99486786,0.99773587,0.04359615,0.16457755,0.08960254,0.08960254
toddler,svm,0,1054,0.69070209,0.99240987,0.99450549,0.98901099,1.00000000,0.99997050,0.99998681,0.03835500,0.17401932,0.13819794,0.14078614
toddler,svm,1,1054,0.69070209,0.99051233,0.99228494,0.98763736,0.99693252,0.99985674,0.99993610,0.03961775,0.17750187,0.13707163,0.14126594
toddler,svm,2,1054,0.69070209,0.99146110,0.99381868,0.98763736,1.00000000,0.99983146,0.99992498,0.03933947,0.17657284,0.13691532,0.14137919
toddler,svm,3,1054,0.69070209,0.99240987,0.99450549,0.98901099,1.00000000,0.99991573,0.99996240,0.03970811,0.17736400,0.13675290,0.14304293
toddler,svm,4,1054,0.69070209,0.99146110,0.99381868,0.98763736,1.00000000,0.99991573,0.99996244,0.04020430,0.17862287,0.13855345,0.14293080
toddler,svm,5,1054,0.69070209,0.99240987,0.99450549,0.98901099,1.00000000,0.99991573,0.99996249,0.03931812,0.17634490,0.13858832,0.14230360
toddler,svm,6,1054,0.69070209,0.99240987,0.99365857,0.99038462,0.99693252,0.99994101,0.99997359,0.03819675,0.17359209,0.13840069,0.14065448
toddler,svm,7,1054,0.69070209,0.99051233,0.99228494,0.98763736,0.99693252,0.99986938,0.99994148,0.03907767,0.17588205,0.13985277,0.14005701
toddler,svm,8,1054,0.69070209,0.98956357,0.99075120,0.98763736,0.99386503,0.99964185,0.99983809,0.04012483,0.17824095,0.13505585,0.14049085
toddler,svm,9,1054,0.69070209,0.98766603,0.98853064,0.98626374,0.99079755,0.99970084,0.99986533,0.03906650,0.17550769,0.13743098,0.13743098
toddler,xgb,0,1054,0.69070209,0.98956357,0.99159813,0.98626374,0.99693252,0.99957864,0.99981480,0.01421780,0.05947340,0.03667751,0.03667751
toddler,xgb,1,1054,0.69070209,0.98387097,0.98493646,0.98214286,0.98773006,0.99928791,0.99968483,0.01532716,0.06224549,0.03203703,0.03242914
toddler,xgb,2,1054,0.69070209,0.98481973,0.98647020,0.98214286,0.99079755,0.99930897,0.99969502,0.01611789,0.06357575,0.03309773,0.03386289
toddler,xgb,3,1054,0.69070209,0.98197343,0.98356283,0.97939560,0.98773006,0.99927526,0.99967777,0.01640608,0.06445043,0.03562649,0.03562649
toddler,xgb,4,1054,0.69070209,0.98387097,0.98578339,0.98076923,0.99079755,0.99916993,0.99963077,0.01671615,0.06519472,0.03582830,0.03582830
toddler,xgb,5,1054,0.69070209,0.98576850,0.98715701,0.98351648,0.99079755,0.99931319,0.99969828,0.01613725,0.06371232,0.03416040,0.03484943
toddler,xgb,6,1054,0.69070209,0.98671727,0.98784383,0.98489011,0.99079755,0.99962078,0.99983113,0.01399295,0.05843324,0.03662812,0.03737585
toddler,xgb,7,1054,0.69070209,0.98292220,0.98509658,0.97939560,0.99079755,0.99925841,0.99967206,0.01608040,0.06349902,0.03518003,0.03518003
toddler,xgb,8,1054,0.69070209,0.98197343,0.98356283,0.97939560,0.98773006,0.99910672,0.99960117,0.01717405,0.06580516,0.03349069,0.03574526
toddler,xgb,9,1054,0.69070209,0.98481973,0.98562327,0.98351648,0.98773006,0.99893396,0.99952691,0.01694279,0.06550906,0.03286886,0.03293034
toddler,adaboost,0,1054,0.69070209,0.91935484,0.94077395,0.88461538,0.99693252,0.99165501,0.99639013,0.10212187,0.36438469,0.24973510,0.24973510
toddler,adaboost,1,1054,0.69070209,0.91840607,0.94008714,0.88324176,0.99693252,0.99200474,0.99651555,0.10181346,0.36364619,0.24790593,0.24790593
toddler,adaboost,2,1054,0.69070209,0.91935484,0.93908009,0.88736264,0.99079755,0.99171821,0.99636832,0.10191953,0.36398761,0.24937026,0.24937026
toddler,adaboost,3,1054,0.69070209,0.91461101,0.93564603,0.88049451,0.99079755,0.99115359,0.99611687,0.10217600,0.36445452,0.24594052,0.24594052
toddler,adaboost,4,1054,0.69070209,0.92220114,0.94283439,0.88873626,0.99693252,0.99197103,0.99647663,0.10178703,0.36371218,0.25094421,0.25094421
toddler,adaboost,5,1054,0.69070209,0.91555977,0.93548591,0.88324176,0.98773006,0.99119573,0.99615316,0.10231085,0.36464666,0.24658012,0.24658012
toddler,adaboost,6,1054,0.69070209,0.92125237,0.94214758,0.88736264,0.99693252,0.99250826,0.99671450,0.10135192,0.36274859,0.25016260,0.25016260
toddler,adaboost,7,1054,0.69070209,0.92220114,0.94198746,0.89010989,0.99386503,0.99160234,0.99632823,0.10213513,0.36429320,0.24955452,0.24955452
toddler,adaboost,8,1054,0.69070209,0.92030361,0.94061383,0.88736264,0.99386503,0.99083968,0.99599045,0.10219960,0.36449347,0.24350002,0.24350002
toddler,adaboost,9,1054,0.69070209,0.92030361,0.94061383,0.88736264,0.99386503,0.99138323,0.99624630,0.10187285,0.36370974,0.24414024,0.24414024
toddler,mlp,0,1054,0.69070209,0.98956357,0.99244505,0.98489011,1.00000000,0.99981039,0.99991560,0.01370255,0.05841186,0.03870741,0.04005341
toddler,mlp,1,1054,0.69070209,0.99051233,0.99313187,0.98626374,1.00000000,0.99985252,0.99993423,0.01223324,0.05463179,0.03723266,0.04070817
toddler,mlp,2,1054,0.69070209,0.98956357,0.99244505,0.98489011,1.00000000,0.99988623,0.99994923,0.01204576,0.05261059,0.03555451,0.03949231
toddler,mlp,3,1054,0.69070209,0.98956357,0.99159813,0.98626374,0.99693252,0.99978511,0.99990407,0.01372245,0.05968569,0.04309546,0.04309546
toddler,mlp,4,1054,0.69070209,0.98956357,0.99244505,0.98489011,1.00000000,0.99985252,0.99993488,0.01229930,0.05351358,0.03888503,0.03888503
toddler,mlp,5,1054,0.69070209,0.99335863,0.99434538,0.99175824,0.99693252,0.99992416,0.99996611,0.01119939,0.05054890,0.03857430,0.03857430
toddler,mlp,6,1054,0.69070209,0.99051233,0.99143801,0.98901099,0.99386503,0.99978932,0.99990562,0.01431816,0.06188309,0.04343545,0.04450713
toddler,mlp,7,1054,0.69070209,0.97722960,0.98266955,0.96840659,0.99693252,0.99954493,0.99979756,0.01919701,0.07544595,0.04749817,0.04958230
toddler,mlp,8,1054,0.69070209,0.99051233,0.99313187,0.98626374,1.00000000,0.99993680,0.99997174,0.01314080,0.05789778,0.03923166,0.04492483
toddler,mlp,9,1054,0.69070209,0.99051233,0.99313187,0.98626374,1.00000000,0.99981039,0.99991614,0.01287336,0.05506116,0.03695652,0.03711663
child,logreg,0,290,0.48275862,0.98620690,0.98666667,1.00000000,0.97333333,1.00000000,1.00000000,0.01580546,0.07333417,0.06267400,0.06267400
child,logreg,1,290,0.48275862,0.98965517,0.99000000,1.00000000,0.98000000,1.00000000,1.00000000,0.01611137,0.07437305,0.06361603,0.06361603
child,logreg,2,290,0.48275862,0.99310345,0.99333333,1.00000000,0.98666667,1.00000000,1.00000000,0.01485048,0.07146241,0.06193378,0.06193378
child,logreg,3,290,0.48275862,0.99310345,0.99333333,1.00000000,0.98666667,0.99990476,0.99989832,0.01764655,0.07862148,0.06079568,0.06079568
child,logreg,4,290,0.48275862,0.99310345,0.99333333,1.00000000,0.98666667,0.99985714,0.99984838,0.01701472,0.07668748,0.05776013,0.05776013
child,logreg,5,290,0.48275862,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.01528736,0.07320990,0.06348869,0.06348869
child,logreg,6,290,0.48275862,0.99655172,0.99666667,1.00000000,0.99333333,1.00000000,1.00000000,0.01361479,0.06824273,0.05594949,0.05594949
child,logreg,7,290,0.48275862,0.98965517,0.99000000,1.00000000,0.98000000,0.99961905,0.99959214,0.01574646,0.07320144,0.05331117,0.05331117
child,logreg,8,290,0.48275862,0.99655172,0.99666667,1.00000000,0.99333333,0.99985714,0.99984693,0.01651621,0.07548152,0.05393478,0.06171823
child,logreg,9,290,0.48275862,0.99310345,0.99333333,1.00000000,0.98666667,1.00000000,1.00000000,0.01656031,0.07565562,0.06033919,0.06033919
child,dtree,0,290,0.48275862,0.90000000,0.90095238,0.92857143,0.87333333,0.91361905,0.86648458,0.09525928,2.90493250,0.09105901,0.09105901
child,dtree,1,290,0.48275862,0.86551724,0.86690476,0.90714286,0.82666667,0.89180952,0.84189263,0.11603928,3.64966909,0.10968607,0.10968607
child,dtree,2,290,0.48275862,0.86206897,0.86285714,0.88571429,0.84000000,0.89423810,0.85358333,0.11572880,3.53201281,0.11058537,0.11058537
child,dtree,3,290,0.48275862,0.87586207,0.87595238,0.87857143,0.87333333,0.90357143,0.85738089,0.10708791,3.16561034,0.09313688,0.09313688
child,dtree,4,290,0.48275862,0.87586207,0.87619048,0.88571429,0.86666667,0.90266667,0.86356731,0.10793387,3.16790329,0.09394012,0.09721306
child,dtree,5,290,0.48275862,0.84827586,0.84833333,0.85000000,0.84666667,0.86733333,0.81637633,0.13809775,4.51302116,0.13137071,0.13137071
child,dtree,6,290,0.48275862,0.86551724,0.86595238,0.87857143,0.85333333,0.89295238,0.85487375,0.11625062,3.53486324,0.10817636,0.10817636
child,dtree,7,290,0.48275862,0.88620690,0.88761905,0.92857143,0.84666667,0.92090476,0.88878510,0.09315837,2.55535989,0.09344077,0.09344077
child,dtree,8,290,0.48275862,0.87241379,0.87261905,0.87857143,0.86666667,0.88638095,0.84509365,0.11939349,3.77556588,0.11176488,0.11239184
child,dtree,9,290,0.48275862,0.84482759,0.84476190,0.84285714,0.84666667,0.85697619,0.80752258,0.14603771,4.76726570,0.14078814,0.14078814
child,knn,0,290,0.48275862,0.90344828,0.90571429,0.97142857,0.84000000,0.97547619,0.95870358,0.06703448,0.43132330,0.06068966,0.06068966
child,knn,1,290,0.48275862,0.89655172,0.89904762,0.97142857,0.82666667,0.97311905,0.95610245,0.07282759,0.44580504,0.06896552,0.06896552
child,knn,2,290,0.48275862,0.90000000,0.90238095,0.97142857,0.83333333,0.97042857,0.94910411,0.07103448,0.55664660,0.06137931,0.06137931
child,knn,3,290,0.48275862,0.89310345,0.89595238,0.97857143,0.81333333,0.97200000,0.95231424,0.07282759,0.44766833,0.06344828,0.06344828
child,knn,4,290,0.48275862,0.90344828,0.90619048,0.98571429,0.82666667,0.97573810,0.95846462,0.06868966,0.43551777,0.06620690,0.06620690
child,knn,5,290,0.48275862,0.89655172,0.89904762,0.97142857,0.82666667,0.97069048,0.94848679,0.07296552,0.56474346,0.06413793,0.07931034
child,knn,6,290,0.48275862,0.91724138,0.91904762,0.97142857,0.86666667,0.97995238,0.96524977,0.06151724,0.41728665,0.06344828,0.06482759
child,knn,7,290,0.48275862,0.90689655,0.90904762,0.97142857,0.84666667,0.97678571,0.96408144,0.06648276,0.31456864,0.05655172,0.05655172
child,knn,8,290,0.48275862,0.91034483,0.91238095,0.97142857,0.85333333,0.97573810,0.95817108,0.06510345,0.42844521,0.05241379,0.05931034
child,knn,9,290,0.48275862,0.90689655,0.90952381,0.98571429,0.83333333,0.96888095,0.94590827,0.07255172,0.56438015,0.06344828,0.06344828
child,nb,0,290,0.48275862,0.82068966,0.82095238,0.82857143,0.81333333,0.83114286,0.74996297,0.16284215,2.83166953,0.15855313,0.15860982
child,nb,1,290,0.48275862,0.79310345,0.79357143,0.80714286,0.78000000,0.81845238,0.74353859,0.18382567,3.07062826,0.17840486,0.18275033
