cohort,model,method,n_repeats,calibrated_brier_mean,calibrated_brier_sd,calibrated_brier_ci95_lower,calibrated_brier_ci95_upper,calibrated_log_loss_mean,calibrated_log_loss_sd,calibrated_log_loss_ci95_lower,calibrated_log_loss_ci95_upper,calibrated_ece_5_mean,calibrated_ece_5_sd,calibrated_ece_5_ci95_lower,calibrated_ece_5_ci95_upper,calibrated_ece_10_mean,calibrated_ece_10_sd,calibrated_ece_10_ci95_lower,calibrated_ece_10_ci95_upper,brier_improvement_mean,brier_improvement_sd,brier_improvement_ci95_lower,brier_improvement_ci95_upper,log_loss_improvement_mean,log_loss_improvement_sd,log_loss_improvement_ci95_lower,log_loss_improvement_ci95_upper,ece_5_improvement_mean,ece_5_improvement_sd,ece_5_improvement_ci95_lower,ece_5_improvement_ci95_upper,ece_10_improvement_mean,ece_10_improvement_sd,ece_10_improvement_ci95_lower,ece_10_improvement_ci95_upper,n_samples,positive_rate,brier_improved_fraction,ece_5_improved_fraction
adult,logreg,histbin,10,0.00070357,0.00113219,0.00000000,0.00151349,0.01639347,0.03501500,0.00000000,0.04144169,0.00100134,0.00117293,0.00016228,0.00184041,0.00100134,0.00117293,0.00016228,0.00184041,0.00660097,0.00104620,0.00585256,0.00734938,0.02121960,0.03487778,-0.00373046,0.04616966,0.03161859,0.00237304,0.02992101,0.03331616,0.03186905,0.00162402,0.03070730,0.03303080,699,0.26752504,1.00000000,1.00000000
adult,logreg,isotonic,10,0.00055082,0.00087705,0.00000000,0.00117823,0.01117337,0.03236310,0.00000000,0.03432454,0.00085204,0.00081506,0.00026897,0.00143510,0.00091940,0.00088101,0.00028917,0.00154964,0.00675372,0.00078734,0.00619049,0.00731695,0.02643970,0.03226883,0.00335596,0.04952343,0.03176789,0.00206178,0.03029299,0.03324280,0.03195099,0.00132826,0.03100082,0.03290117,699,0.26752504,1.00000000,1.00000000
adult,logreg,beta,10,0.00048769,0.00086761,0.00000000,0.00110834,0.00283478,0.00600957,0.00000000,0.00713376,0.00094063,0.00076344,0.00039449,0.00148676,0.00099321,0.00089100,0.00035583,0.00163059,0.00681685,0.00083283,0.00622108,0.00741262,0.03477830,0.00593838,0.03053023,0.03902636,0.03167930,0.00196180,0.03027591,0.03308269,0.03187718,0.00138795,0.03088430,0.03287006,699,0.26752504,1.00000000,1.00000000
adult,dtree,platt,10,0.07643217,0.00670364,0.07163668,0.08122767,0.27608524,0.02004771,0.26174397,0.29042651,0.01793391,0.00696947,0.01294825,0.02291956,0.01878540,0.00767521,0.01329489,0.02427591,0.00741008,0.00258619,0.00556004,0.00926013,2.35039731,0.26545064,2.16050536,2.54028926,0.06125504,0.01375952,0.05141207,0.07109801,0.06040355,0.01479930,0.04981676,0.07099033,699,0.26752504,1.00000000,1.00000000
adult,dtree,temperature,10,0.07739097,0.00700353,0.07238095,0.08240100,0.28667730,0.02047585,0.27202976,0.30132484,0.04428404,0.00833710,0.03832003,0.05024804,0.04464088,0.00818531,0.03878547,0.05049630,0.00645129,0.00190343,0.00508965,0.00781292,2.33980525,0.26468053,2.15046421,2.52914630,0.03490491,0.01360285,0.02517402,0.04463580,0.03454807,0.01353071,0.02486878,0.04422735,699,0.26752504,1.00000000,1.00000000
adult,dtree,histbin,10,0.07829763,0.00671443,0.07349441,0.08310084,0.35255762,0.07283690,0.30045325,0.40466200,0.01732761,0.00701329,0.01231060,0.02234461,0.02110083,0.00757118,0.01568473,0.02651693,0.00554463,0.00302114,0.00338344,0.00770583,2.27392493,0.30504136,2.05571148,2.49213837,0.06186134,0.01041874,0.05440822,0.06931445,0.05808811,0.01076435,0.05038776,0.06578846,699,0.26752504,1.00000000,1.00000000
adult,dtree,isotonic,10,0.07717162,0.00681390,0.07229725,0.08204599,0.27915295,0.01943450,0.26525035,0.29305556,0.01678461,0.00541786,0.01290891,0.02066032,0.01839275,0.00574683,0.01428171,0.02250379,0.00667063,0.00295644,0.00455573,0.00878554,2.34732960,0.26661047,2.15660795,2.53805124,0.06240433,0.01118086,0.05440603,0.07040264,0.06079620,0.01004407,0.05361110,0.06798129,699,0.26752504,1.00000000,1.00000000
adult,dtree,beta,10,0.07617407,0.00686758,0.07126130,0.08108684,0.27567231,0.02030976,0.26114358,0.29020103,0.01720642,0.00572342,0.01311213,0.02130070,0.01815275,0.00509958,0.01450473,0.02180077,0.00766819,0.00254672,0.00584638,0.00949001,2.35081024,0.26532897,2.16100534,2.54061515,0.06198253,0.01245681,0.05307147,0.07089359,0.06103620,0.01189782,0.05252501,0.06954738,699,0.26752504,1.00000000,1.00000000
adult,knn,platt,10,0.03208283,0.00148168,0.03102290,0.03314276,0.10121273,0.00870800,0.09498340,0.10744205,0.01714712,0.00705072,0.01210333,0.02219090,0.01934054,0.00621278,0.01489618,0.02378489,-0.00090114,0.00116180,-0.00173225,-0.00007004,0.01605341,0.02099070,0.00103757,0.03106925,0.00147949,0.00783231,-0.00412340,0.00708239,-0.00042780,0.00651726,-0.00508997,0.00423437,699,0.26752504,0.20000000,0.60000000
adult,knn,temperature,10,0.03334948,0.00186057,0.03201851,0.03468045,0.10423235,0.00876892,0.09795944,0.11050526,0.02236547,0.00351878,0.01984828,0.02488265,0.02502980,0.00553475,0.02107048,0.02898912,-0.00216779,0.00086325,-0.00278532,-0.00155026,0.01303379,0.02036936,-0.00153758,0.02760515,-0.00373886,0.00399155,-0.00659424,-0.00088348,-0.00611706,0.00584937,-0.01030145,-0.00193267,699,0.26752504,0.00000000,0.20000000
adult,knn,histbin,10,0.03037214,0.00204287,0.02891076,0.03183353,0.14222706,0.06304517,0.09712726,0.18732686,0.01072273,0.00356645,0.00817145,0.01327401,0.01541413,0.00299647,0.01327059,0.01755768,0.00080954,0.00106912,0.00004474,0.00157435,-0.02496093,0.05226103,-0.06234621,0.01242436,0.00790388,0.00277492,0.00591883,0.00988894,0.00349860,0.00294030,0.00139524,0.00560197,699,0.26752504,0.80000000,1.00000000
adult,knn,isotonic,10,0.03033855,0.00204064,0.02887876,0.03179834,0.12451791,0.03682152,0.09817738,0.15085844,0.01067069,0.00355006,0.00813114,0.01321025,0.01567627,0.00336755,0.01326727,0.01808527,0.00084314,0.00106818,0.00007901,0.00160727,-0.00725178,0.02803346,-0.02730571,0.01280215,0.00795592,0.00279120,0.00595921,0.00995262,0.00323647,0.00306951,0.00104067,0.00543226,699,0.26752504,0.80000000,1.00000000
adult,knn,beta,10,0.03145539,0.00238426,0.02974979,0.03316099,0.11482417,0.02634404,0.09597878,0.13366957,0.01353087,0.00782335,0.00793438,0.01912736,0.01767514,0.00747548,0.01232750,0.02302278,-0.00027370,0.00162961,-0.00143945,0.00089205,0.00244196,0.01391588,-0.00751286,0.01239678,0.00509574,0.00798974,-0.00061977,0.01081126,0.00123759,0.00723949,-0.00394122,0.00641641,699,0.26752504,0.50000000,0.70000000
adult,nb,platt,10,0.04383715,0.00104872,0.04308694,0.04458736,0.14854011,0.00387701,0.14576666,0.15131356,0.00649719,0.00225300,0.00488549,0.00810888,0.01846752,0.00316947,0.01620021,0.02073482,0.00265020,0.00040275,0.00236209,0.00293831,0.01539070,0.00250382,0.01359958,0.01718183,0.02085520,0.00406333,0.01794847,0.02376193,0.01485161,0.00338466,0.01243037,0.01727285,699,0.26752504,1.00000000,1.00000000
adult,nb,temperature,10,0.04585813,0.00112687,0.04505201,0.04666424,0.15359520,0.00330719,0.15122937,0.15596102,0.02371991,0.00117511,0.02287929,0.02456053,0.02516099,0.00200684,0.02372539,0.02659660,0.00062922,0.00031008,0.00040741,0.00085104,0.01033561,0.00154188,0.00923262,0.01143861,0.00363247,0.00322529,0.00132524,0.00593971,0.00815813,0.00256503,0.00632322,0.00999305,699,0.26752504,1.00000000,0.90000000
adult,nb,histbin,10,0.04856866,0.00255139,0.04674350,0.05039381,0.29404282,0.07876518,0.23769760,0.35038804,0.01268701,0.00431910,0.00959731,0.01577671,0.01621889,0.00492345,0.01269687,0.01974091,-0.00208130,0.00215118,-0.00362016,-0.00054245,-0.13011201,0.07933168,-0.18686248,-0.07336154,0.01466537,0.00369880,0.01201941,0.01731134,0.01710024,0.00511435,0.01344165,0.02075882,699,0.26752504,0.10000000,1.00000000
adult,nb,isotonic,10,0.04592637,0.00126474,0.04502163,0.04683110,0.23481966,0.03049227,0.21300681,0.25663252,0.01030945,0.00336474,0.00790246,0.01271644,0.02210937,0.00365566,0.01949427,0.02472447,0.00056098,0.00094967,-0.00011837,0.00124034,-0.07088885,0.03014650,-0.09245436,-0.04932334,0.01704294,0.00363674,0.01444137,0.01964450,0.01120976,0.00383914,0.00846340,0.01395611,699,0.26752504,0.70000000,1.00000000
adult,nb,beta,10,0.04402233,0.00099668,0.04330935,0.04473531,0.14953302,0.00338644,0.14711051,0.15195554,0.00583089,0.00271148,0.00389122,0.00777056,0.01751017,0.00369301,0.01486835,0.02015199,0.00246503,0.00052228,0.00209141,0.00283864,0.01439779,0.00241136,0.01267281,0.01612277,0.02152149,0.00389228,0.01873712,0.02430587,0.01580896,0.00344075,0.01334760,0.01827032,699,0.26752504,1.00000000,1.00000000
adult,rf,platt,10,0.02598943,0.00201889,0.02454520,0.02743366,0.08538108,0.00705202,0.08033637,0.09042579,0.00863670,0.00337270,0.00622401,0.01104938,0.01382950,0.00178069,0.01255567,0.01510333,0.02704185,0.00156875,0.02591963,0.02816406,0.12535829,0.00650915,0.12070193,0.13001466,0.12390278,0.00458876,0.12062018,0.12718539,0.11887314,0.00426546,0.11582181,0.12192446,699,0.26752504,1.00000000,1.00000000
adult,rf,temperature,10,0.02906414,0.00166926,0.02787002,0.03025826,0.09619500,0.00583579,0.09202033,0.10036967,0.02596524,0.00160390,0.02481788,0.02711261,0.02799767,0.00243283,0.02625733,0.02973801,0.02396713,0.00125752,0.02306755,0.02486671,0.11454438,0.00523779,0.11079749,0.11829126,0.10657424,0.00386450,0.10380974,0.10933873,0.10470497,0.00419449,0.10170441,0.10770553,699,0.26752504,1.00000000,1.00000000
adult,rf,histbin,10,0.02757157,0.00208741,0.02607833,0.02906482,0.11605988,0.03318170,0.09232312,0.13979664,0.00779001,0.00490593,0.00428052,0.01129950,0.01379901,0.00556746,0.00981629,0.01778173,0.02545969,0.00158708,0.02432437,0.02659502,0.09467950,0.03288490,0.07115505,0.11820394,0.12474947,0.00511439,0.12109086,0.12840809,0.11890363,0.00682228,0.11402326,0.12378400,699,0.26752504,1.00000000,1.00000000
adult,rf,isotonic,10,0.02654700,0.00208637,0.02505450,0.02803950,0.14401088,0.04203642,0.11393984,0.17408193,0.01086569,0.00330298,0.00850288,0.01322850,0.01592064,0.00289846,0.01384720,0.01799407,0.02648427,0.00175226,0.02523078,0.02773776,0.06672849,0.04194078,0.03672586,0.09673112,0.12167379,0.00495068,0.11813229,0.12521529,0.11678201,0.00521140,0.11305400,0.12051002,699,0.26752504,1.00000000,1.00000000
adult,rf,beta,10,0.02610544,0.00200710,0.02466964,0.02754123,0.08554532,0.00709095,0.08047275,0.09061788,0.00709594,0.00370642,0.00444453,0.00974735,0.01196091,0.00328122,0.00961367,0.01430815,0.02692583,0.00154030,0.02582397,0.02802770,0.12519405,0.00654016,0.12051551,0.12987260,0.12544354,0.00527103,0.12167287,0.12921421,0.12074173,0.00503633,0.11713895,0.12434450,699,0.26752504,1.00000000,1.00000000
adult,svm,platt,10,0.01109664,0.00159561,0.00995521,0.01223807,0.03715564,0.00496910,0.03360096,0.04071032,0.00618444,0.00232169,0.00452360,0.00784528,0.00992569,0.00248938,0.00814490,0.01170649,0.04081537,0.00142649,0.03979492,0.04183581,0.18800132,0.00478622,0.18457747,0.19142518,0.15841288,0.00300828,0.15626089,0.16056488,0.16075589,0.00418874,0.15775945,0.16375234,699,0.26752504,1.00000000,1.00000000
adult,svm,temperature,10,0.01377278,0.00106563,0.01301048,0.01453509,0.04552745,0.00352721,0.04300424,0.04805066,0.01607092,0.00249065,0.01428922,0.01785263,0.01723516,0.00244117,0.01548885,0.01898147,0.03813922,0.00095317,0.03745736,0.03882108,0.17962952,0.00356756,0.17707744,0.18218159,0.14852640,0.00258593,0.14667654,0.15037626,0.15344643,0.00441698,0.15028671,0.15660614,699,0.26752504,1.00000000,1.00000000
adult,svm,histbin,10,0.01334137,0.00142365,0.01232295,0.01435979,0.07105785,0.02568901,0.05268105,0.08943466,0.00702003,0.00361066,0.00443712,0.00960294,0.00979124,0.00325586,0.00746213,0.01212034,0.03857063,0.00169904,0.03735522,0.03978605,0.15409911,0.02664270,0.13504007,0.17315815,0.15757729,0.00591875,0.15334328,0.16181131,0.16089035,0.00390919,0.15809389,0.16368682,699,0.26752504,1.00000000,1.00000000
adult,svm,isotonic,10,0.01229617,0.00182889,0.01098786,0.01360449,0.13253814,0.05436195,0.09364994,0.17142633,0.00716569,0.00279603,0.00516553,0.00916585,0.01154308,0.00196124,0.01014010,0.01294606,0.03961583,0.00167862,0.03841502,0.04081664,0.09261883,0.05470808,0.05348303,0.13175464,0.15743163,0.00405707,0.15452937,0.16033388,0.15913851,0.00358663,0.15657279,0.16170423,699,0.26752504,1.00000000,1.00000000
adult,svm,beta,10,0.01109694,0.00158850,0.00996060,0.01223328,0.03716410,0.00496666,0.03361117,0.04071704,0.00612248,0.00224199,0.00451865,0.00772630,0.00978796,0.00256553,0.00795269,0.01162323,0.04081507,0.00141885,0.03980008,0.04183005,0.18799286,0.00477799,0.18457490,0.19141083,0.15847484,0.00293995,0.15637173,0.16057796,0.16089363,0.00423167,0.15786647,0.16392078,699,0.26752504,1.00000000,1.00000000
adult,xgb,platt,10,0.01401736,0.00262907,0.01213664,0.01589808,0.04816551,0.00835400,0.04218942,0.05414160,0.00786452,0.00241670,0.00613572,0.00959333,0.01270265,0.00219984,0.01112898,0.01427632,0.00317568,0.00107596,0.00240599,0.00394538,0.01580797,0.00403064,0.01292462,0.01869131,0.01728409,0.00474855,0.01388718,0.02068099,0.01421886,0.00385699,0.01145973,0.01697798,699,0.26752504,1.00000000,1.00000000
adult,xgb,temperature,10,0.01475553,0.00252138,0.01295184,0.01655922,0.05319071,0.00849436,0.04711421,0.05926721,0.01405295,0.00167552,0.01285435,0.01525154,0.01630791,0.00225354,0.01469582,0.01791999,0.00243751,0.00068952,0.00194426,0.00293076,0.01078276,0.00381965,0.00805034,0.01351518,0.01109566,0.00430653,0.00801496,0.01417636,0.01061360,0.00253685,0.00879884,0.01242835,699,0.26752504,1.00000000,1.00000000
adult,xgb,histbin,10,0.01604561,0.00363942,0.01344213,0.01864909,0.17372923,0.07888585,0.11729770,0.23016077,0.00938920,0.00438042,0.00625564,0.01252276,0.01266425,0.00268492,0.01074358,0.01458492,0.00114744,0.00231991,-0.00051213,0.00280700,-0.10975576,0.07661801,-0.16456498,-0.05494654,0.01575940,0.00697762,0.01076792,0.02075089,0.01425726,0.00407981,0.01133874,0.01717577,699,0.26752504,0.60000000,1.00000000
adult,xgb,isotonic,10,0.01497689,0.00334572,0.01258350,0.01737027,0.11746885,0.04835807,0.08287557,0.15206213,0.00852604,0.00431902,0.00543641,0.01161568,0.01120344,0.00366025,0.00858506,0.01382183,0.00221616,0.00188504,0.00086768,0.00356463,-0.05349538,0.04410160,-0.08504376,-0.02194699,0.01662256,0.00737587,0.01134618,0.02189894,0.01571806,0.00524556,0.01196561,0.01947051,699,0.26752504,0.80000000,1.00000000
adult,xgb,beta,10,0.01374696,0.00276891,0.01176620,0.01572772,0.04643677,0.00830136,0.04049834,0.05237521,0.00697392,0.00217339,0.00541917,0.00852867,0.01096152,0.00185105,0.00963736,0.01228568,0.00344608,0.00109347,0.00266386,0.00422830,0.01753670,0.00388326,0.01475878,0.02031462,0.01817468,0.00371998,0.01551357,0.02083580,0.01595999,0.00231855,0.01430140,0.01761858,699,0.26752504,1.00000000,1.00000000
adult,adaboost,platt,10,0.05855989,0.00173935,0.05731564,0.05980415,0.18657065,0.00474700,0.18317485,0.18996645,0.01294462,0.00394287,0.01012406,0.01576518,0.02613096,0.00643888,0.02152486,0.03073705,0.04834218,0.00128554,0.04742256,0.04926179,0.18196136,0.00432318,0.17886874,0.18505397,0.17572140,0.00436054,0.17260206,0.17884074,0.17072613,0.00782732,0.16512679,0.17632546,699,0.26752504,1.00000000,1.00000000
adult,adaboost,temperature,10,0.08667049,0.00164176,0.08549605,0.08784493,0.28371522,0.00550673,0.27977594,0.28765450,0.12139822,0.00215446,0.11985701,0.12293942,0.12139822,0.00215446,0.11985701,0.12293942,0.02023158,0.00131279,0.01929247,0.02117069,0.08481678,0.00510054,0.08116808,0.08846549,0.06726780,0.00345631,0.06479531,0.06974030,0.07545887,0.00577202,0.07132982,0.07958792,699,0.26752504,1.00000000,1.00000000
adult,adaboost,histbin,10,0.06129426,0.00177401,0.06002521,0.06256332,0.19889982,0.01713576,0.18664164,0.21115800,0.01670334,0.00780746,0.01111822,0.02228846,0.02203928,0.00540621,0.01817191,0.02590665,0.04560781,0.00136504,0.04463131,0.04658430,0.16963218,0.01692299,0.15752621,0.18173816,0.17196268,0.00916560,0.16540600,0.17851935,0.17481780,0.00661918,0.17008273,0.17955288,699,0.26752504,1.00000000,1.00000000
adult,adaboost,isotonic,10,0.06001584,0.00220548,0.05843813,0.06159354,0.28186594,0.05821900,0.24021858,0.32351331,0.01657433,0.00516399,0.01288024,0.02026842,0.02304257,0.00374655,0.02036245,0.02572270,0.04688624,0.00189498,0.04553065,0.04824182,0.08666606,0.05853977,0.04478924,0.12854289,0.17209168,0.00664786,0.16733609,0.17684728,0.17381451,0.00573300,0.16971337,0.17791565,699,0.26752504,1.00000000,1.00000000
adult,adaboost,beta,10,0.05872428,0.00157787,0.05759554,0.05985303,0.18567699,0.00432593,0.18258241,0.18877158,0.01321790,0.00447399,0.01001741,0.01641840,0.02259729,0.00677733,0.01774908,0.02744550,0.04817778,0.00117740,0.04733553,0.04902004,0.18285501,0.00402394,0.17997646,0.18573357,0.17544811,0.00470833,0.17207998,0.17881625,0.17425979,0.00792579,0.16859002,0.17992957,699,0.26752504,1.00000000,1.00000000
adult,mlp,platt,10,0.01952263,0.00642583,0.01492587,0.02411940,0.06575146,0.02277995,0.04945566,0.08204725,0.01354793,0.00443544,0.01037501,0.01672085,0.01716507,0.00336043,0.01476116,0.01956897,0.01105378,0.00732570,0.00581329,0.01629427,0.05210512,0.02736933,0.03252628,0.07168395,0.05508790,0.02472365,0.03740166,0.07277413,0.05283582,0.02494197,0.03499341,0.07067823,699,0.26752504,1.00000000,1.00000000
adult,mlp,temperature,10,0.02578637,0.00898450,0.01935924,0.03221349,0.08709391,0.03186720,0.06429749,0.10989034,0.03155882,0.01409466,0.02147611,0.04164154,0.03239401,0.01357446,0.02268343,0.04210459,0.00479005,0.00419962,0.00178583,0.00779428,0.03076266,0.01681220,0.01873593,0.04278938,0.03707700,0.01335434,0.02752388,0.04663013,0.03760688,0.01427970,0.02739180,0.04782196,699,0.26752504,1.00000000,1.00000000
adult,mlp,histbin,10,0.02040188,0.00833971,0.01443602,0.02636775,0.10993947,0.07107683,0.05909417,0.16078476,0.01330411,0.00719994,0.00815359,0.01845464,0.01508871,0.00686075,0.01018083,0.01999660,0.01017453,0.00628071,0.00568158,0.01466749,0.00791711,0.07431812,-0.04524687,0.06108109,0.05533171,0.02056896,0.04061757,0.07004586,0.05491218,0.02165132,0.03942376,0.07040059,699,0.26752504,1.00000000,1.00000000
adult,mlp,isotonic,10,0.02076202,0.00740384,0.01546562,0.02605841,0.15250946,0.09347293,0.08564295,0.21937596,0.01541205,0.00484743,0.01194441,0.01887970,0.01788161,0.00601485,0.01357885,0.02218437,0.00981440,0.00688722,0.00488758,0.01474122,-0.03465289,0.10355027,-0.10872829,0.03942251,0.05322378,0.02302509,0.03675261,0.06969494,0.05211928,0.02280515,0.03580546,0.06843310,699,0.26752504,1.00000000,1.00000000
adult,mlp,beta,10,0.01980371,0.00669281,0.01501596,0.02459146,0.06545717,0.02275970,0.04917586,0.08173848,0.01332197,0.00397795,0.01047632,0.01616762,0.01603910,0.00274018,0.01407889,0.01799931,0.01077271,0.00718903,0.00562999,0.01591543,0.05239940,0.02691166,0.03314796,0.07165085,0.05531386,0.02518263,0.03729929,0.07332842,0.05396179,0.02598033,0.03537658,0.07254699,699,0.26752504,1.00000000,1.00000000
