cohort,model,method,n_repeats,calibrated_brier_mean,calibrated_brier_sd,calibrated_brier_ci95_lower,calibrated_brier_ci95_upper,calibrated_log_loss_mean,calibrated_log_loss_sd,calibrated_log_loss_ci95_lower,calibrated_log_loss_ci95_upper,calibrated_ece_5_mean,calibrated_ece_5_sd,calibrated_ece_5_ci95_lower,calibrated_ece_5_ci95_upper,calibrated_ece_10_mean,calibrated_ece_10_sd,calibrated_ece_10_ci95_lower,calibrated_ece_10_ci95_upper,brier_improvement_mean,brier_improvement_sd,brier_improvement_ci95_lower,brier_improvement_ci95_upper,log_loss_improvement_mean,log_loss_improvement_sd,log_loss_improvement_ci95_lower,log_loss_improvement_ci95_upper,ece_5_improvement_mean,ece_5_improvement_sd,ece_5_improvement_ci95_lower,ece_5_improvement_ci95_upper,ece_10_improvement_mean,ece_10_improvement_sd,ece_10_improvement_ci95_lower,ece_10_improvement_ci95_upper,n_samples,positive_rate,brier_improved_fraction,ece_5_improved_fraction
adolescent,logreg,histbin,10,0.06132466,0.01371628,0.05151263,0.07113670,1.52848102,0.45155079,1.20546104,1.85150099,0.05782417,0.01819312,0.04480959,0.07083874,0.06267314,0.01529131,0.05173439,0.07361188,-0.01695583,0.01101233,-0.02483358,-0.00907809,-1.37357003,0.45078224,-1.69604022,-1.05109985,-0.00050131,0.02295449,-0.01692196,0.01591934,0.01094849,0.01423085,0.00076835,0.02112863,103,0.60194175,0.00000000,0.60000000
adolescent,logreg,isotonic,10,0.04645877,0.01395678,0.03647469,0.05644285,0.90793457,0.40717044,0.61666238,1.19920676,0.03916118,0.01637843,0.02744476,0.05087761,0.04910951,0.01430500,0.03887632,0.05934269,-0.00208994,0.00927284,-0.00872333,0.00454345,-0.75302359,0.39695454,-1.03698776,-0.46905942,0.01816167,0.02501091,0.00026995,0.03605340,0.02451212,0.01905237,0.01088288,0.03814137,103,0.60194175,0.40000000,0.80000000
adolescent,logreg,beta,10,0.04359880,0.01413639,0.03348623,0.05371136,0.30614618,0.20678637,0.15822011,0.45407224,0.03588247,0.01307933,0.02652608,0.04523885,0.04701703,0.01092522,0.03920160,0.05483246,0.00077003,0.00978012,-0.00622625,0.00776631,-0.15123519,0.20147099,-0.29535886,-0.00711153,0.02144039,0.02105334,0.00637974,0.03650104,0.02660460,0.01635390,0.01490573,0.03830348,103,0.60194175,0.60000000,0.80000000
adolescent,dtree,platt,10,0.17383144,0.01198342,0.16525902,0.18240386,0.53876226,0.03224653,0.51569448,0.56183003,0.08369883,0.03966303,0.05532561,0.11207205,0.08958712,0.03706389,0.06307321,0.11610103,0.02613123,0.01339450,0.01654938,0.03571307,5.70155543,0.60645770,5.26772173,6.13538914,0.10415745,0.05222280,0.06679951,0.14151539,0.10277400,0.05158167,0.06587470,0.13967330,103,0.60194175,0.90000000,0.90000000
adolescent,dtree,temperature,10,0.17325323,0.01190267,0.16473857,0.18176788,0.53655644,0.03153034,0.51400099,0.55911188,0.08045066,0.03805046,0.05323100,0.10767032,0.08670056,0.03628664,0.06074266,0.11265846,0.02670944,0.01301450,0.01739943,0.03601945,5.70376126,0.60705533,5.26950003,6.13802248,0.10740561,0.04925202,0.07217284,0.14263839,0.10566056,0.04927509,0.07041129,0.14090984,103,0.60194175,1.00000000,0.90000000
adolescent,dtree,histbin,10,0.18830046,0.01685496,0.17624315,0.20035777,1.32040429,0.62981517,0.86986167,1.77094692,0.09183196,0.05940499,0.04933619,0.13432774,0.11242232,0.04973753,0.07684223,0.14800241,0.01166221,0.02248454,-0.00442226,0.02774668,4.91991340,0.97715282,4.22090038,5.61892641,0.09602431,0.06965356,0.04619716,0.14585147,0.07993880,0.06145436,0.03597700,0.12390060,103,0.60194175,0.80000000,0.90000000
adolescent,dtree,isotonic,10,0.17549560,0.01506064,0.16472186,0.18626933,0.54440767,0.04363633,0.51319213,0.57562322,0.07454598,0.04626551,0.04144963,0.10764234,0.08863296,0.04674727,0.05519197,0.12207394,0.02446707,0.01899499,0.01087887,0.03805526,5.69591002,0.61710924,5.25445666,6.13736338,0.11331030,0.05825026,0.07164057,0.15498002,0.10372817,0.06215000,0.05926873,0.14818760,103,0.60194175,0.90000000,0.90000000
adolescent,dtree,beta,10,0.17458933,0.01242399,0.16570174,0.18347691,0.54116058,0.03422282,0.51667905,0.56564211,0.07425271,0.04228162,0.04400626,0.10449917,0.08456113,0.04042527,0.05564263,0.11347963,0.02537334,0.01436003,0.01510079,0.03564589,5.69915711,0.60856335,5.26381711,6.13449711,0.11360356,0.05340087,0.07540288,0.15180424,0.10779999,0.05513658,0.06835766,0.14724233,103,0.60194175,0.90000000,0.90000000
adolescent,knn,platt,10,0.07767770,0.01412188,0.06757552,0.08777989,0.38033557,0.25238254,0.19979197,0.56087916,0.04315230,0.01619790,0.03156502,0.05473959,0.05432844,0.01775285,0.04162881,0.06702806,0.03537084,0.01248360,0.02644061,0.04430107,0.48036545,0.37416715,0.21270239,0.74802850,0.09024575,0.01679478,0.07823149,0.10226001,0.07906962,0.01706873,0.06685939,0.09127986,103,0.60194175,1.00000000,1.00000000
adolescent,knn,temperature,10,0.10215125,0.00817315,0.09630453,0.10799797,0.34226641,0.07326674,0.28985454,0.39467828,0.11576801,0.01289941,0.10654033,0.12499570,0.11576801,0.01289941,0.10654033,0.12499570,0.01089729,0.00787296,0.00526532,0.01652927,0.51843461,0.43149367,0.20976263,0.82710658,0.01763004,0.01405584,0.00757510,0.02768499,0.01763004,0.01405584,0.00757510,0.02768499,103,0.60194175,1.00000000,0.80000000
adolescent,knn,histbin,10,0.08359263,0.00969258,0.07665898,0.09052629,0.86893695,0.50112033,0.51045706,1.22741683,0.06365835,0.02049870,0.04899447,0.07832224,0.07500596,0.02195910,0.05929736,0.09071455,0.02945591,0.00732629,0.02421500,0.03469682,-0.00823593,0.51707976,-0.37813251,0.36166065,0.06973970,0.02110628,0.05464118,0.08483823,0.05839210,0.02286244,0.04203729,0.07474691,103,0.60194175,1.00000000,1.00000000
adolescent,knn,isotonic,10,0.08216691,0.00875215,0.07590600,0.08842782,0.80140301,0.43895652,0.48739243,1.11541360,0.06084222,0.02062488,0.04608806,0.07559637,0.07340151,0.02099996,0.05837904,0.08842398,0.03088163,0.00639953,0.02630369,0.03545958,0.05929800,0.44910668,-0.26197357,0.38056957,0.07255584,0.02079713,0.05767847,0.08743322,0.05999655,0.02125788,0.04478958,0.07520352,103,0.60194175,1.00000000,1.00000000
adolescent,knn,beta,10,0.08093158,0.00860865,0.07477332,0.08708984,0.31441911,0.07299831,0.26219927,0.36663895,0.05666081,0.02097151,0.04165869,0.07166292,0.07079724,0.01905107,0.05716892,0.08442555,0.03211696,0.00601851,0.02781158,0.03642234,0.54628190,0.43715942,0.23355689,0.85900691,0.07673725,0.02085120,0.06182121,0.09165330,0.06260082,0.01940519,0.04871918,0.07648246,103,0.60194175,1.00000000,1.00000000
adolescent,nb,platt,10,0.19369291,0.01789926,0.18088855,0.20649727,0.57709622,0.04180645,0.54718969,0.60700275,0.09375773,0.04603792,0.06082419,0.12669128,0.11322518,0.03537680,0.08791814,0.13853222,0.05863372,0.03028307,0.03697052,0.08029693,3.77970171,1.27164079,2.87002469,4.68937873,0.16125802,0.08223867,0.10242801,0.22008802,0.14650269,0.06741205,0.09827901,0.19472637,103,0.60194175,1.00000000,1.00000000
adolescent,nb,temperature,10,0.19343127,0.01851309,0.18018781,0.20667474,0.57665139,0.04234862,0.54635701,0.60694577,0.09275104,0.01838821,0.07959690,0.10590517,0.10904573,0.02300709,0.09258745,0.12550401,0.05889536,0.02908942,0.03808604,0.07970467,3.78014655,1.27091579,2.87098816,4.68930494,0.16226471,0.05149584,0.12542681,0.19910262,0.15068214,0.05105724,0.11415799,0.18720629,103,0.60194175,1.00000000,1.00000000
adolescent,nb,histbin,10,0.20740047,0.01777912,0.19468205,0.22011888,1.25829633,0.46288257,0.92717008,1.58942257,0.09334873,0.03370630,0.06923670,0.11746076,0.10543625,0.03237726,0.08227496,0.12859755,0.04492616,0.03119395,0.02261136,0.06724097,3.09850161,1.48785462,2.03415453,4.16284869,0.16166702,0.05184982,0.12457590,0.19875815,0.15429162,0.05716915,0.11339527,0.19518796,103,0.60194175,0.90000000,1.00000000
adolescent,nb,isotonic,10,0.19572906,0.02082724,0.18083016,0.21062797,0.64825335,0.22589100,0.48666066,0.80984604,0.08477689,0.02441467,0.06731169,0.10224209,0.10580131,0.01654763,0.09396385,0.11763877,0.05659756,0.02820545,0.03642060,0.07677453,3.70854459,1.20684252,2.84522146,4.57186772,0.17023886,0.04479853,0.13819192,0.20228580,0.15392656,0.04169535,0.12409950,0.18375361,103,0.60194175,1.00000000,1.00000000
adolescent,nb,beta,10,0.19291006,0.01845635,0.17970719,0.20611294,0.57735309,0.04826072,0.54282945,0.61187673,0.08316588,0.04206289,0.05307591,0.11325586,0.12141373,0.03811942,0.09414474,0.14868272,0.05941656,0.03336915,0.03554572,0.08328741,3.77944485,1.26975358,2.87111786,4.68777184,0.17184987,0.06996043,0.12180319,0.22189655,0.13831414,0.06332162,0.09301659,0.18361170,103,0.60194175,1.00000000,1.00000000
adolescent,rf,platt,10,0.06638831,0.01103063,0.05849747,0.07427915,0.21295284,0.02953003,0.19182833,0.23407736,0.04067741,0.01066637,0.03304715,0.04830768,0.05617201,0.00945575,0.04940778,0.06293625,0.04332015,0.00866979,0.03711816,0.04952215,0.16397307,0.02375583,0.14697917,0.18096697,0.12621451,0.01893115,0.11267198,0.13975704,0.13621302,0.02254683,0.12008399,0.15234204,103,0.60194175,1.00000000,1.00000000
adolescent,rf,temperature,10,0.06722759,0.01049357,0.05972094,0.07473423,0.21593151,0.02864547,0.19543978,0.23642325,0.04493312,0.01588840,0.03356724,0.05629899,0.06053399,0.01330350,0.05101724,0.07005074,0.04248088,0.00770371,0.03696998,0.04799177,0.16099440,0.02274981,0.14472017,0.17726863,0.12195881,0.02558097,0.10365929,0.14025833,0.13185105,0.01991449,0.11760507,0.14609702,103,0.60194175,1.00000000,1.00000000
adolescent,rf,histbin,10,0.07511544,0.01021441,0.06780849,0.08242239,0.42071316,0.28709771,0.21533584,0.62609049,0.03985051,0.01324109,0.03037841,0.04932261,0.05414790,0.01100102,0.04627824,0.06201755,0.03459302,0.00822082,0.02871220,0.04047384,-0.04378725,0.28503614,-0.24768982,0.16011532,0.12704141,0.02314594,0.11048380,0.14359902,0.13823714,0.02648328,0.11929214,0.15718213,103,0.60194175,1.00000000,1.00000000
adolescent,rf,isotonic,10,0.06948815,0.01618977,0.05790669,0.08106962,0.88348320,0.50223647,0.52420487,1.24276153,0.04388532,0.01632622,0.03220625,0.05556439,0.05814192,0.01442241,0.04782474,0.06845909,0.04022031,0.01373225,0.03039685,0.05004377,-0.50655729,0.49647812,-0.86171634,-0.15139824,0.12300660,0.02345921,0.10622490,0.13978831,0.13424311,0.02847582,0.11387274,0.15461349,103,0.60194175,1.00000000,1.00000000
adolescent,rf,beta,10,0.06682662,0.01136157,0.05869903,0.07495420,0.21465624,0.02978478,0.19334949,0.23596299,0.04183205,0.01142146,0.03366163,0.05000247,0.05939590,0.01066243,0.05176846,0.06702334,0.04288185,0.00910035,0.03637185,0.04939185,0.16226967,0.02397973,0.14511560,0.17942374,0.12505987,0.01570303,0.11382660,0.13629314,0.13298913,0.02315684,0.11642373,0.14955454,103,0.60194175,1.00000000,1.00000000
adolescent,svm,platt,10,0.05292193,0.01232439,0.04410560,0.06173826,0.17319760,0.03835017,0.14576355,0.20063166,0.03757897,0.01423999,0.02739229,0.04776564,0.05573880,0.00866078,0.04954325,0.06193435,0.06383923,0.00978844,0.05683700,0.07084146,0.23101276,0.03222372,0.20796130,0.25406422,0.16696167,0.01816499,0.15396722,0.17995612,0.17758029,0.02370736,0.16062107,0.19453952,103,0.60194175,1.00000000,1.00000000
adolescent,svm,temperature,10,0.05545310,0.01304673,0.04612003,0.06478616,0.17570778,0.03807648,0.14846950,0.20294605,0.03129520,0.00825854,0.02538740,0.03720300,0.04837407,0.00761725,0.04292501,0.05382313,0.06130807,0.01013017,0.05406138,0.06855475,0.22850259,0.03199822,0.20561244,0.25139273,0.17324544,0.01456240,0.16282812,0.18366275,0.18494502,0.01873950,0.17153959,0.19835046,103,0.60194175,1.00000000,1.00000000
adolescent,svm,histbin,10,0.06340273,0.00925834,0.05677971,0.07002574,0.37861446,0.24247889,0.20515551,0.55207341,0.03841271,0.00939075,0.03169497,0.04513045,0.05506924,0.01573064,0.04381622,0.06632226,0.05335843,0.00701509,0.04834014,0.05837673,0.02559591,0.23902534,-0.14539252,0.19658433,0.16612793,0.01129089,0.15805091,0.17420495,0.17824986,0.02749148,0.15858364,0.19791608,103,0.60194175,1.00000000,1.00000000
adolescent,svm,isotonic,10,0.05588189,0.01292195,0.04663809,0.06512570,0.64386443,0.32343299,0.41249441,0.87523445,0.04095479,0.01164473,0.03262465,0.04928492,0.05330145,0.01542926,0.04226402,0.06433887,0.06087926,0.01048067,0.05338184,0.06837668,-0.23965406,0.32425302,-0.47161070,-0.00769743,0.16358586,0.01734764,0.15117611,0.17599561,0.18001765,0.02844650,0.15966825,0.20036705,103,0.60194175,1.00000000,1.00000000
adolescent,svm,beta,10,0.05311998,0.01238737,0.04425859,0.06198136,0.17421117,0.03883551,0.14642992,0.20199243,0.03810325,0.01160674,0.02980028,0.04640621,0.05618085,0.01226716,0.04740545,0.06495625,0.06364118,0.00987755,0.05657521,0.07070715,0.22999919,0.03277496,0.20655340,0.25344499,0.16643739,0.01460114,0.15599237,0.17688242,0.17713825,0.02318371,0.16055362,0.19372287,103,0.60194175,1.00000000,1.00000000
adolescent,xgb,platt,10,0.06254511,0.01880044,0.04909609,0.07599414,0.20841802,0.06922457,0.15889775,0.25793829,0.05122777,0.01427812,0.04101382,0.06144173,0.06751441,0.01509724,0.05671449,0.07831432,-0.00163979,0.00882329,-0.00795159,0.00467201,-0.00342310,0.04519719,-0.03575522,0.02890902,0.00798045,0.01748116,-0.00452482,0.02048571,0.01188194,0.02351658,-0.00494081,0.02870468,103,0.60194175,0.50000000,0.70000000
adolescent,xgb,temperature,10,0.06086916,0.01602742,0.04940384,0.07233448,0.20356754,0.05930928,0.16114023,0.24599484,0.04692356,0.01525382,0.03601163,0.05783549,0.06646721,0.01023073,0.05914859,0.07378583,0.00003617,0.00560018,-0.00396996,0.00404229,0.00142738,0.03199504,-0.02146049,0.02431525,0.01228466,0.02273714,-0.00398051,0.02854983,0.01292913,0.01846204,-0.00027782,0.02613609,103,0.60194175,0.60000000,0.60000000
adolescent,xgb,histbin,10,0.08315980,0.02819416,0.06299091,0.10332868,1.92220269,1.01742302,1.19438210,2.65002327,0.07777073,0.03399082,0.05345516,0.10208630,0.09321405,0.03571465,0.06766533,0.11876277,-0.02225447,0.01904829,-0.03588079,-0.00862814,-1.71720777,0.99505002,-2.42902367,-1.00539187,-0.01856251,0.04172261,-0.04840906,0.01128404,-0.01381771,0.04637752,-0.04699419,0.01935877,103,0.60194175,0.00000000,0.30000000
adolescent,xgb,isotonic,10,0.07155553,0.02234245,0.05557270,0.08753836,0.98525227,0.68202688,0.49735963,1.47314490,0.06090033,0.03492123,0.03591918,0.08588147,0.07192881,0.03434628,0.04735897,0.09649866,-0.01065020,0.01281345,-0.01981640,-0.00148401,-0.78025735,0.65896488,-1.25165243,-0.30886227,-0.00169211,0.04467187,-0.03364844,0.03026422,0.00746753,0.04508240,-0.02478248,0.03971754,103,0.60194175,0.30000000,0.40000000
adolescent,xgb,beta,10,0.06389456,0.01991265,0.04964991,0.07813921,0.21809505,0.08561837,0.15684736,0.27934274,0.04960277,0.01904814,0.03597655,0.06322900,0.06288583,0.01834581,0.04976203,0.07600963,-0.00298923,0.00953721,-0.00981174,0.00383327,-0.01310013,0.05876210,-0.05513600,0.02893575,0.00960545,0.02839645,-0.01070815,0.02991904,0.01651051,0.02914145,-0.00433602,0.03735705,103,0.60194175,0.50000000,0.50000000
adolescent,adaboost,platt,10,0.11477957,0.01914398,0.10108479,0.12847434,0.36616584,0.06780927,0.31765801,0.41467367,0.05239672,0.01354119,0.04270994,0.06208350,0.08363341,0.01530104,0.07268770,0.09457912,0.02481479,0.01138755,0.01666862,0.03296095,0.08322906,0.05107086,0.04669517,0.11976295,0.10630316,0.02974188,0.08502710,0.12757922,0.07699180,0.02486772,0.05920250,0.09478109,103,0.60194175,1.00000000,1.00000000
adolescent,adaboost,temperature,10,0.12333404,0.01414511,0.11321523,0.13345284,0.38834160,0.04848764,0.35365563,0.42302757,0.07894772,0.01573710,0.06769007,0.09020537,0.10052285,0.02025296,0.08603476,0.11501094,0.01626032,0.00631296,0.01174429,0.02077634,0.06105330,0.03266814,0.03768391,0.08442268,0.07975216,0.02837233,0.05945582,0.10004850,0.06010235,0.02611210,0.04142288,0.07878183,103,0.60194175,1.00000000,1.00000000
adolescent,adaboost,histbin,10,0.13095021,0.02643828,0.11203740,0.14986302,0.84142710,0.54710778,0.45004977,1.23280443,0.06604926,0.03883025,0.03827178,0.09382675,0.09076226,0.03883121,0.06298409,0.11854044,0.00864415,0.01915357,-0.00505749,0.02234578,-0.39203220,0.53198854,-0.77259388,-0.01147052,0.09265062,0.05384821,0.05412993,0.13117130,0.06986294,0.05152200,0.03300632,0.10671956,103,0.60194175,0.70000000,0.90000000
adolescent,adaboost,isotonic,10,0.12277195,0.01981361,0.10859815,0.13694575,0.94337024,0.53658643,0.55951944,1.32722105,0.06868723,0.01860706,0.05537654,0.08199792,0.08222526,0.01661305,0.07034100,0.09410952,0.01682240,0.01257421,0.00782735,0.02581745,-0.49397535,0.52310761,-0.86818399,-0.11976670,0.09001265,0.03667609,0.06377616,0.11624915,0.07839994,0.03121397,0.05607082,0.10072907,103,0.60194175,0.90000000,1.00000000
adolescent,adaboost,beta,10,0.11655290,0.02046990,0.10190961,0.13119619,0.37779432,0.07957660,0.32086864,0.43471999,0.05473040,0.01988209,0.04050760,0.06895319,0.08153802,0.02736929,0.06195921,0.10111683,0.02304145,0.01282522,0.01386683,0.03221606,0.07160058,0.06384079,0.02593163,0.11726953,0.10396949,0.03439090,0.07936772,0.12857125,0.07908719,0.03641080,0.05304047,0.10513390,103,0.60194175,1.00000000,1.00000000
adolescent,mlp,platt,10,0.15313608,0.03997925,0.12453665,0.18173551,0.49477845,0.14614896,0.39022978,0.59932711,0.11395928,0.04040181,0.08505756,0.14286099,0.13027304,0.04502397,0.09806483,0.16248125,0.01330254,0.02381719,-0.00373525,0.03034033,0.01682766,0.10835521,-0.06068499,0.09434031,0.04439354,0.05481237,0.00518313,0.08360395,0.04859997,0.06083101,0.00508409,0.09211585,103,0.60194175,0.70000000,0.80000000
adolescent,mlp,temperature,10,0.15104205,0.04054290,0.12203940,0.18004469,0.48768199,0.14561476,0.38351546,0.59184851,0.11497166,0.05114023,0.07838814,0.15155518,0.13292965,0.04849022,0.09824184,0.16761746,0.01539657,0.02341705,-0.00135497,0.03214812,0.02392412,0.10560881,-0.05162387,0.09947211,0.04338115,0.05752989,0.00222675,0.08453556,0.04594336,0.06175642,0.00176549,0.09012124,103,0.60194175,0.80000000,0.80000000
adolescent,mlp,histbin,10,0.17685106,0.04419201,0.14523800,0.20846413,1.52297944,1.40264430,0.51958815,2.52637073,0.10935972,0.05694760,0.06862186,0.15009758,0.14593180,0.06309180,0.10079864,0.19106495,-0.01041244,0.03126106,-0.03277526,0.01195037,-1.01137333,1.36419319,-1.98725836,-0.03548831,0.04899309,0.06791349,0.00041070,0.09757548,0.03294121,0.07649300,-0.02177858,0.08766101,103,0.60194175,0.30000000,0.70000000
adolescent,mlp,isotonic,10,0.16015691,0.04563393,0.12751236,0.19280145,1.83373296,1.68514618,0.62825200,3.03921392,0.11761291,0.05070661,0.08133959,0.15388624,0.13226947,0.04467961,0.10030759,0.16423134,0.00628171,0.03004647,-0.01521223,0.02777566,-1.32212685,1.65202244,-2.50391252,-0.14034119,0.04073990,0.06507774,-0.00581391,0.08729371,0.04660355,0.06127601,0.00276933,0.09043776,103,0.60194175,0.70000000,0.70000000
adolescent,mlp,beta,10,0.15145625,0.03897236,0.12357710,0.17933540,0.48518230,0.13567867,0.38812363,0.58224097,0.11154586,0.04460679,0.07963609,0.14345564,0.14090059,0.05062987,0.10468216,0.17711901,0.01498238,0.02307170,-0.00152212,0.03148687,0.02642381,0.09744532,-0.04328438,0.09613199,0.04680695,0.05627343,0.00655136,0.08706254,0.03797242,0.06562104,-0.00897004,0.08491489,103,0.60194175,0.70000000,0.80000000
adult,logreg,platt,10,0.00051964,0.00086639,0.00000000,0.00113942,0.00272041,0.00548660,0.00000000,0.00664529,0.00100261,0.00090892,0.00035241,0.00165281,0.00100261,0.00090892,0.00035241,0.00165281,0.00678491,0.00082086,0.00619770,0.00737211,0.03489266,0.00541580,0.03101843,0.03876689,0.03161732,0.00214300,0.03008431,0.03315033,0.03186778,0.00141395,0.03085630,0.03287927,699,0.26752504,1.00000000,1.00000000
adult,logreg,temperature,10,0.00097138,0.00095125,0.00029090,0.00165186,0.00374756,0.00245391,0.00199213,0.00550298,0.00222162,0.00083836,0.00162190,0.00282135,0.00233715,0.00087251,0.00171299,0.00296130,0.00633317,0.00075673,0.00579184,0.00687450,0.03386551,0.00214232,0.03233299,0.03539804,0.03039830,0.00147554,0.02934276,0.03145385,0.03053325,0.00115091,0.02970994,0.03135656,699,0.26752504,1.00000000,1.00000000
